transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T100592,2023-12-22T10:28:54.714859,ACC115069,ACC488241,13.36,transfer,retail,Sydney,atm,False,,,-0.45,15,0.41,card,180.180.218.171,D2902200
T100671,2023-12-02T23:38:16.404153,ACC840632,ACC985778,979.01,deposit,other,Dubai,pos,False,,,0.14,3,0.86,wire_transfer,142.59.181.40,D4731953
T100714,2023-04-06T05:45:56.417705,ACC221591,ACC732958,136.37,payment,restaurant,Singapore,atm,False,,,0.48,14,0.53,wire_transfer,196.40.76.3,D6655862
T100745,2023-12-23T04:52:30.907937,ACC120425,ACC958294,500.27,withdrawal,utilities,Sydney,atm,False,,,-0.66,1,0.32,wire_transfer,195.166.102.110,D9437990
T100760,2023-04-23T13:07:40.079527,ACC491311,ACC982298,7.76,transfer,restaurant,New York,mobile,False,,,1.11,5,0.91,wire_transfer,23.193.86.80,D2679655
T100777,2023-06-18T01:52:19.402811,ACC375957,ACC905947,239.59,withdrawal,utilities,Toronto,pos,False,,,-0.62,6,0.84,wire_transfer,45.170.180.116,D6310561
T100858,2023-02-10T04:44:57.258794,ACC978050,ACC180552,549.57,withdrawal,other,Singapore,web,False,,,-1.25,6,0.77,card,22.154.93.114,D6705434
T101038,2023-08-01T01:30:03.313468,ACC989121,ACC600313,1178.43,deposit,grocery,New York,atm,False,,,-0.18,3,0.79,ACH,216.57.181.218,D1738553
T101095,2023-07-18T22:35:13.018380,ACC743228,ACC198351,416.83,withdrawal,restaurant,Tokyo,atm,False,,,0.02,8,0.91,wire_transfer,174.75.23.185,D7508257
T101117,2023-09-23T07:20:55.742818,ACC188746,ACC789978,42.38,payment,grocery,Berlin,web,False,,,-1.76,8,0.89,wire_transfer,144.235.95.187,D1966421
T101210,2023-08-04T05:54:30.094522,ACC369434,ACC494338,135.48,payment,grocery,Toronto,mobile,False,,,-0.18,18,0.6,card,174.245.116.8,D9913595
T101289,2023-01-22T06:07:33.686532,ACC265270,ACC746749,41.63,transfer,travel,Sydney,atm,False,,,-1.62,19,0.55,UPI,16.191.89.53,D8127485
T101290,2023-12-15T16:54:00.986227,ACC317401,ACC712907,555.46,withdrawal,entertainment,New York,web,False,,,2.87,18,0.01,UPI,136.94.203.137,D9312366
T101322,2023-04-14T02:27:21.889271,ACC281358,ACC307471,1.19,payment,grocery,London,mobile,False,,,-0.59,11,0.63,card,160.246.137.89,D2532938
T101381,2023-03-30T13:00:16.674463,ACC991613,ACC957084,35.37,withdrawal,other,Berlin,web,False,,,-1.43,19,1.0,ACH,207.148.132.20,D4121288
T101384,2023-12-18T13:58:46.737527,ACC791895,ACC174031,413.3,withdrawal,retail,Singapore,atm,False,,,0.58,9,0.69,wire_transfer,64.199.29.226,D6429232
T101386,2023-03-09T19:30:44.222103,ACC755797,ACC859909,63.64,withdrawal,entertainment,Singapore,pos,False,,,-0.66,3,0.41,UPI,17.203.205.152,D9021899
T101388,2023-09-23T17:37:58.319059,ACC771417,ACC595889,16.57,transfer,retail,Tokyo,pos,False,,,1.44,14,0.47,wire_transfer,187.85.219.232,D8050591
T101412,2023-07-08T03:17:23.327510,ACC711514,ACC167949,72.23,transfer,other,New York,atm,False,,,-1.37,13,0.17,wire_transfer,107.134.226.210,D4445419
T101417,2023-02-06T23:18:51.777745,ACC456792,ACC762831,282.01,deposit,restaurant,Singapore,mobile,False,,,1.3,5,0.64,wire_transfer,244.113.140.143,D5419244
T101427,2023-06-05T20:49:50.951251,ACC464779,ACC885489,1197.31,deposit,online,Tokyo,mobile,False,,,-0.52,14,0.38,ACH,235.63.193.212,D7943467
T101428,2023-06-09T01:02:40.942849,ACC101568,ACC246328,79.28,transfer,online,Berlin,atm,False,,,0.85,5,0.79,ACH,65.68.112.137,D1664676
T101487,2023-01-02T14:03:36.682933,ACC122731,ACC292735,14.87,transfer,online,London,pos,False,,,0.46,6,0.84,ACH,192.143.252.32,D9625548
T101551,2023-12-15T17:56:41.960893,ACC762616,ACC893351,8.09,payment,retail,London,web,False,,,0.21,4,0.08,wire_transfer,155.176.183.160,D4689637
T101650,2023-08-07T21:52:30.011481,ACC845115,ACC656495,21.87,transfer,online,Singapore,web,False,,,-0.05,3,0.88,wire_transfer,182.164.111.125,D1329004
T101651,2023-09-04T10:32:23.755965,ACC456708,ACC435571,363.49,withdrawal,travel,Tokyo,pos,False,,,-0.61,14,0.26,ACH,189.203.244.136,D5841424
T101718,2023-06-16T23:27:38.689202,ACC967419,ACC936914,814.17,deposit,utilities,Berlin,mobile,False,,,0.1,7,0.05,UPI,117.216.158.51,D3998312
T101744,2023-04-07T07:57:42.885979,ACC625714,ACC695445,875.1,deposit,travel,Tokyo,atm,False,,,1.45,5,0.89,UPI,248.209.108.148,D2063516
T101832,2023-11-24T15:19:06.943875,ACC732092,ACC128537,125.21,deposit,entertainment,Sydney,atm,False,,,-0.74,12,0.41,wire_transfer,35.184.209.205,D3283431
T101837,2023-01-28T22:59:31.431527,ACC794967,ACC648731,35.52,payment,online,New York,atm,False,,,0.71,13,0.59,wire_transfer,158.89.80.146,D8533096
T101908,2023-07-20T19:44:52.898742,ACC515582,ACC854972,1149.48,deposit,other,Berlin,web,False,,,-0.83,15,0.77,UPI,101.240.182.185,D5687439
T101960,2023-03-08T07:00:12.228878,ACC712403,ACC808401,280.84,payment,travel,New York,web,False,,,-1.03,8,0.67,ACH,29.186.198.224,D3654684
T101964,2023-11-19T14:16:57.959974,ACC276387,ACC501267,466.25,withdrawal,entertainment,Singapore,pos,False,,,-1.14,12,0.59,UPI,135.171.227.198,D7459410
T102019,2023-09-16T01:52:12.829179,ACC133624,ACC255090,22.53,transfer,entertainment,Dubai,atm,False,,,-0.76,17,0.78,UPI,169.56.12.73,D1579170
T102031,2023-09-25T13:07:02.335494,ACC739433,ACC283194,18.68,transfer,retail,New York,pos,False,,,0.75,4,0.42,wire_transfer,136.213.242.96,D7091909
T102055,2023-05-21T20:25:07.607772,ACC910295,ACC241154,523.56,withdrawal,other,Dubai,pos,False,,,2.17,10,0.05,UPI,255.249.68.38,D1666344
T102137,2023-11-02T15:21:18.953623,ACC666258,ACC792488,100.75,payment,entertainment,London,web,False,,,1.1,12,0.64,card,21.140.180.195,D3877659
T102148,2023-04-02T19:35:07.591275,ACC885119,ACC915936,66.63,payment,travel,Sydney,web,False,,,-1.03,1,0.63,ACH,237.76.84.226,D7676886
T102156,2023-01-22T17:58:42.929288,ACC987361,ACC594785,815.22,deposit,travel,Berlin,pos,False,,,0.55,4,0.02,ACH,102.185.76.159,D4190898
T102224,2023-10-05T08:49:43.447188,ACC146620,ACC878991,0.01,withdrawal,retail,New York,atm,False,,,-2.08,2,0.83,card,253.123.138.216,D1719623
T102367,2023-08-10T10:55:29.142279,ACC560412,ACC887874,40.71,transfer,other,Berlin,pos,False,,,2.42,12,0.2,UPI,225.179.230.153,D9488686
T102431,2023-03-25T13:30:10.008031,ACC775514,ACC546094,30.93,transfer,entertainment,London,mobile,False,,,-0.78,17,0.26,UPI,28.114.178.50,D6669692
T102480,2023-01-14T16:01:02.506740,ACC735896,ACC177550,61.59,transfer,online,Singapore,mobile,False,,,-0.39,2,0.48,UPI,23.10.32.100,D4619833
T102507,2023-08-05T18:45:19.117386,ACC947389,ACC400495,30.76,payment,online,New York,mobile,False,,,-0.32,6,0.34,ACH,207.66.31.110,D7961563
T102537,2023-08-08T21:06:46.124604,ACC609376,ACC635820,54.76,transfer,online,Toronto,web,False,,,-1.03,11,0.66,wire_transfer,153.76.134.171,D8078489
T102545,2023-08-18T19:15:22.933912,ACC800275,ACC523641,2044.35,deposit,travel,Singapore,mobile,False,,,0.86,9,0.0,ACH,75.183.17.11,D7830771
T102578,2023-11-08T05:44:46.025348,ACC503328,ACC574299,647.24,withdrawal,travel,London,atm,False,,,-1.53,3,0.28,UPI,81.93.150.207,D6177204
T102628,2023-08-26T04:14:08.659792,ACC359851,ACC932878,428.75,withdrawal,restaurant,Singapore,mobile,False,,,-0.5,5,0.52,ACH,171.54.128.122,D9870326
T102633,2023-10-10T12:09:16.291770,ACC432847,ACC881304,11.16,transfer,online,Singapore,pos,False,,,-0.48,20,0.91,wire_transfer,83.193.92.209,D4801392
T102712,2023-12-05T11:21:37.223550,ACC711258,ACC975139,1.13,payment,other,Berlin,atm,False,,,-1.64,2,0.22,card,82.127.245.15,D2675184
T102862,2023-02-10T03:00:20.441908,ACC992343,ACC422860,210.26,withdrawal,entertainment,Sydney,mobile,False,,,-0.01,5,0.93,UPI,210.39.67.63,D7509708
T103153,2023-07-24T05:17:16.659221,ACC672305,ACC706303,8.84,transfer,online,Singapore,web,False,,,0.04,17,0.3,wire_transfer,130.82.96.51,D5391339
T103162,2023-01-14T01:47:54.887043,ACC439036,ACC341609,391.49,withdrawal,utilities,New York,mobile,False,,,0.57,13,0.58,ACH,212.139.227.128,D2126585
T103184,2023-08-08T11:34:55.433776,ACC853635,ACC442152,193.78,withdrawal,restaurant,Berlin,atm,False,,,0.24,16,0.52,card,60.210.144.142,D8276736
T103279,2023-11-14T16:03:55.687252,ACC194247,ACC596691,329.78,withdrawal,grocery,London,pos,False,,,0.78,3,0.28,wire_transfer,176.186.153.167,D2441012
T103286,2023-05-14T01:22:51.267413,ACC199682,ACC501805,688.16,withdrawal,utilities,Tokyo,web,False,,,0.92,8,0.13,UPI,219.184.250.61,D2864332
T103370,2023-09-14T17:55:23.193491,ACC648649,ACC779425,165.48,payment,retail,Dubai,web,False,,,0.4,9,0.35,ACH,225.184.23.88,D1341603
T103373,2023-01-09T09:31:49.941388,ACC907691,ACC938300,262.35,withdrawal,utilities,Tokyo,mobile,False,,,1.1,1,0.68,card,88.241.4.215,D9081959
T103376,2023-11-25T11:51:18.496036,ACC990932,ACC160713,560.92,withdrawal,travel,Sydney,atm,False,,,0.6,7,0.13,ACH,154.217.202.61,D8460944
T103399,2023-12-13T07:28:30.289879,ACC643890,ACC618299,710.01,withdrawal,grocery,Sydney,pos,False,,,0.32,3,0.46,UPI,12.208.200.198,D8538939
T103461,2023-01-06T16:20:08.599175,ACC858949,ACC390126,40.62,transfer,utilities,Singapore,mobile,False,,,-1.3,17,0.26,card,169.227.177.138,D4108792
T103498,2023-12-12T17:28:21.907948,ACC421956,ACC898650,22.56,transfer,grocery,Tokyo,atm,False,,,-0.54,20,0.76,ACH,47.253.169.134,D8978358
T103557,2023-06-02T01:23:14.443661,ACC864541,ACC877868,1580.62,deposit,entertainment,Berlin,pos,False,,,0.44,2,0.26,card,30.253.49.53,D4750909
T103604,2023-06-15T20:40:22.891361,ACC854358,ACC129867,426.7,withdrawal,other,Singapore,web,False,,,0.14,19,0.9,UPI,218.156.202.190,D3558524
T103663,2023-02-19T12:29:30.541561,ACC127574,ACC408009,1262.92,deposit,travel,Toronto,mobile,False,,,0.81,14,0.16,UPI,138.87.11.50,D3479529
T103708,2023-07-26T09:44:05.550318,ACC228992,ACC996860,149.52,payment,retail,Sydney,pos,False,,,0.5,15,0.72,UPI,43.35.219.108,D8582977
T103748,2023-04-20T11:03:57.404184,ACC567059,ACC593591,509.38,withdrawal,travel,London,atm,False,,,1.66,9,0.45,wire_transfer,0.90.101.45,D7325135
T103780,2023-11-10T01:03:53.712452,ACC133680,ACC439908,118.51,transfer,restaurant,Singapore,mobile,False,,,0.44,15,0.91,wire_transfer,208.208.244.127,D3197475
T103954,2023-10-23T00:48:04.674246,ACC307576,ACC182135,307.31,withdrawal,restaurant,Singapore,mobile,False,,,-0.56,14,0.43,card,56.247.209.184,D9507707
T104016,2023-06-09T08:04:01.174312,ACC773951,ACC563708,131.64,payment,retail,Singapore,mobile,False,,,1.14,1,0.04,wire_transfer,171.121.33.142,D4156854
T104047,2023-05-09T10:22:11.833916,ACC202452,ACC812296,67.59,payment,restaurant,Berlin,pos,False,,,2.19,9,0.45,wire_transfer,4.33.170.211,D7997408
T104217,2023-07-13T10:53:54.091341,ACC208335,ACC489524,385.12,withdrawal,restaurant,Tokyo,pos,False,,,-0.91,2,0.81,card,167.209.19.208,D4233172
T104235,2023-08-18T04:24:45.271129,ACC502582,ACC463627,92.27,payment,travel,Tokyo,mobile,False,,,-1.03,10,0.47,UPI,211.248.92.108,D6096352
T104266,2023-11-20T12:39:16.741416,ACC149764,ACC491962,9.27,transfer,other,Toronto,web,False,,,1.4,7,0.18,wire_transfer,151.176.192.120,D3408666
T104282,2023-09-29T16:53:21.575704,ACC863017,ACC576937,14.95,transfer,retail,Singapore,pos,False,,,0.42,6,0.81,wire_transfer,233.4.211.209,D9285003
T104315,2023-04-21T17:38:45.088109,ACC992736,ACC357519,472.85,deposit,restaurant,Berlin,atm,False,,,0.07,5,0.94,UPI,211.120.7.17,D9223388
T104440,2023-01-21T17:14:13.485014,ACC468529,ACC844983,105.28,payment,other,New York,pos,False,,,0.97,14,1.0,wire_transfer,241.114.110.222,D4693867
T104450,2023-10-29T08:47:03.513168,ACC401233,ACC109653,55.19,payment,grocery,Dubai,pos,False,,,-0.24,5,0.48,UPI,255.160.112.80,D2894877
T104473,2023-10-19T02:07:51.190996,ACC299501,ACC708712,895.36,deposit,retail,Toronto,mobile,False,,,1.2,1,0.74,wire_transfer,35.30.39.211,D7213689
T104486,2023-12-27T18:06:27.149575,ACC938709,ACC442724,1055.41,deposit,online,Sydney,web,False,,,0.41,5,0.61,wire_transfer,217.206.120.57,D9671043
T104561,2023-08-11T01:56:20.686393,ACC340534,ACC168342,16.85,transfer,utilities,New York,atm,False,,,0.16,6,0.1,ACH,121.54.185.127,D1783887
T104583,2023-04-08T09:32:33.963747,ACC609013,ACC278018,348.35,withdrawal,online,Berlin,pos,False,,,-0.45,17,0.33,ACH,147.37.54.132,D7248077
T104615,2023-02-12T10:10:22.570866,ACC945049,ACC715263,0.01,withdrawal,grocery,Tokyo,atm,False,,,1.32,17,0.87,card,9.148.30.5,D7502047
T104628,2023-09-17T03:04:37.773371,ACC868469,ACC390114,442.69,withdrawal,other,Tokyo,web,False,,,-1.82,18,0.69,card,13.53.184.38,D8780590
T104647,2023-06-09T05:34:22.673097,ACC537089,ACC292239,25.37,transfer,entertainment,Berlin,mobile,False,,,0.24,20,0.67,card,111.98.134.153,D6589365
T104662,2023-11-11T16:50:56.630486,ACC913436,ACC964751,258.8,withdrawal,online,Dubai,mobile,False,,,-1.62,10,0.3,card,241.214.19.250,D9268942
T104664,2023-07-28T17:45:13.428056,ACC825050,ACC269496,23.71,transfer,entertainment,Toronto,atm,False,,,1.09,11,0.22,card,171.110.33.99,D2238438
T104665,2023-03-19T13:58:01.570151,ACC169928,ACC417362,6.99,transfer,other,Toronto,mobile,False,,,-1.12,9,0.23,UPI,32.94.210.65,D2317950
T104676,2023-04-24T10:03:19.032439,ACC738014,ACC426501,340.23,withdrawal,utilities,London,mobile,False,,,0.68,16,0.87,ACH,43.95.133.143,D3547641
T104685,2023-02-24T10:25:42.753416,ACC692888,ACC470305,473.69,deposit,retail,Dubai,web,False,,,-1.51,10,0.14,wire_transfer,189.88.11.102,D1627127
T104698,2023-01-10T10:10:49.501858,ACC793832,ACC964538,14.96,transfer,retail,Tokyo,mobile,False,,,-2.19,18,0.64,UPI,108.95.194.80,D3053782
T104714,2023-02-11T05:19:53.866835,ACC542737,ACC285150,30.11,payment,retail,Sydney,web,False,,,-0.42,16,0.6,UPI,205.213.84.202,D1977934
T104784,2023-11-02T20:02:02.933150,ACC944431,ACC728211,19.98,transfer,grocery,London,atm,False,,,0.44,9,0.58,wire_transfer,163.114.225.20,D7176506
T104810,2023-06-19T10:32:42.642670,ACC239574,ACC467638,1905.37,deposit,entertainment,London,mobile,False,,,-0.29,14,0.69,wire_transfer,139.100.75.46,D5089086
T104848,2023-03-20T05:33:44.620247,ACC936815,ACC946851,353.68,withdrawal,entertainment,Singapore,atm,False,,,-0.43,18,0.82,ACH,178.92.207.136,D5190386
T104879,2023-12-24T09:16:00.761360,ACC111204,ACC478053,202.44,payment,utilities,Tokyo,pos,False,,,-0.93,7,0.06,UPI,212.77.182.226,D3479952
T104882,2023-03-27T20:03:25.328221,ACC945031,ACC819048,70.95,withdrawal,entertainment,Sydney,atm,False,,,0.57,13,0.62,card,191.98.244.79,D6808409
T104972,2023-12-19T21:57:25.454054,ACC438902,ACC906736,142.22,payment,other,Toronto,atm,False,,,-0.4,2,0.82,ACH,69.34.216.220,D9064774
T104987,2023-02-05T07:05:55.367809,ACC942687,ACC234950,110.06,payment,grocery,Dubai,pos,False,,,1.61,11,0.1,ACH,194.40.68.97,D5744725
T105065,2023-02-19T08:50:19.390127,ACC240555,ACC807335,283.87,withdrawal,entertainment,Berlin,web,False,,,-0.44,14,0.34,wire_transfer,129.221.194.101,D9087047
T105075,2023-12-03T01:18:22.721649,ACC497110,ACC712081,72.03,withdrawal,travel,London,mobile,False,,,0.01,20,0.86,ACH,97.172.78.234,D4650905
T105089,2023-12-16T11:09:15.240627,ACC445947,ACC912070,1170.98,deposit,online,Dubai,pos,False,,,-1.46,10,0.05,wire_transfer,247.59.123.236,D1444885
T105120,2023-11-19T06:26:46.438264,ACC186038,ACC675718,15.0,transfer,entertainment,Sydney,web,False,,,-2.16,16,0.13,wire_transfer,230.227.100.9,D8339272
T105138,2023-05-12T07:13:41.793739,ACC412685,ACC536916,1152.1,deposit,restaurant,London,mobile,False,,,1.03,4,0.24,wire_transfer,224.161.123.152,D4070722
T105195,2023-07-26T19:57:45.756542,ACC706605,ACC915981,15.34,transfer,utilities,Singapore,pos,False,,,0.28,15,0.71,wire_transfer,199.106.13.147,D6695120
T105242,2023-01-18T11:37:46.055541,ACC769754,ACC574233,997.57,deposit,restaurant,London,atm,False,,,1.2,18,0.19,card,198.164.72.185,D8478390
T105246,2023-01-26T17:06:48.259257,ACC976322,ACC152132,1733.28,deposit,entertainment,Berlin,atm,False,,,2.17,2,0.66,wire_transfer,119.34.11.111,D9136924
T105293,2023-09-12T06:37:44.845453,ACC632668,ACC662784,11.88,payment,grocery,Toronto,web,False,,,-0.72,3,0.52,wire_transfer,230.218.109.173,D9983409
T105317,2023-02-27T16:46:07.556522,ACC930685,ACC313426,21.87,transfer,online,Toronto,mobile,False,,,-1.6,5,0.93,wire_transfer,247.27.141.173,D7208045
T105323,2023-10-06T09:01:01.972016,ACC127331,ACC980191,1031.18,deposit,utilities,Tokyo,atm,False,,,-1.34,3,0.15,wire_transfer,104.110.24.127,D4773042
T105425,2023-09-03T17:22:30.705581,ACC540142,ACC447693,0.01,deposit,utilities,Tokyo,atm,False,,,-0.89,7,0.03,card,5.115.22.173,D5595109
T105486,2023-05-15T13:06:19.008808,ACC760503,ACC765864,695.18,withdrawal,other,New York,mobile,False,,,-1.43,3,0.6,UPI,29.77.145.162,D1510021
T105499,2023-06-28T13:37:20.561822,ACC531056,ACC778273,26.56,payment,entertainment,Dubai,mobile,False,,,-1.31,17,0.86,card,4.120.59.148,D6295748
T105509,2023-12-08T03:25:21.724022,ACC507710,ACC584771,36.47,payment,utilities,Tokyo,mobile,False,,,0.02,6,0.21,UPI,69.215.181.251,D4100082
T105555,2023-11-01T17:10:52.861050,ACC743478,ACC339844,304.79,withdrawal,travel,Sydney,pos,False,,,-0.63,17,0.72,UPI,206.116.117.149,D8072066
T105561,2023-11-24T06:00:04.241566,ACC473652,ACC700115,32.83,transfer,other,Tokyo,pos,False,,,-0.09,14,0.67,UPI,245.237.206.18,D6723030
T105633,2023-05-01T11:47:04.619585,ACC960008,ACC941123,45.18,payment,utilities,Dubai,mobile,False,,,0.44,6,0.26,wire_transfer,230.173.46.224,D1764864
T105649,2023-06-18T23:43:00.212047,ACC238754,ACC940192,45.53,payment,online,New York,pos,False,,,1.44,2,0.26,UPI,24.100.106.149,D4172408
T105683,2023-06-07T07:24:03.134051,ACC379792,ACC858911,1385.66,deposit,grocery,Tokyo,mobile,False,,,0.84,1,0.63,card,4.219.64.63,D3889514
T105691,2023-06-24T08:56:07.661767,ACC903843,ACC108294,697.55,deposit,online,Berlin,web,False,,,0.29,5,0.04,UPI,90.55.85.113,D1377236
T105702,2023-09-05T10:57:29.880595,ACC560859,ACC671759,148.69,payment,utilities,New York,pos,False,,,-0.97,19,0.46,card,111.46.154.122,D6314843
T105755,2023-12-12T13:21:18.049028,ACC646432,ACC537398,476.74,deposit,online,London,web,False,,,-0.91,15,0.07,wire_transfer,205.47.99.231,D7948261
T105763,2023-05-27T14:17:55.807868,ACC667711,ACC346490,15.69,transfer,entertainment,Sydney,mobile,False,,,0.26,2,0.0,ACH,179.138.45.114,D7242073
T105767,2023-01-04T07:03:18.033642,ACC401769,ACC412918,633.99,withdrawal,other,Sydney,mobile,False,,,0.24,13,0.42,UPI,152.147.59.25,D7332212
T105780,2023-07-09T16:48:30.463142,ACC272326,ACC128468,15.09,transfer,grocery,Singapore,mobile,False,,,-0.38,5,0.29,wire_transfer,139.249.147.108,D1907001
T105810,2023-04-20T07:33:58.323879,ACC979458,ACC966724,1551.24,deposit,travel,Singapore,pos,False,,,-0.3,7,0.22,wire_transfer,145.243.142.163,D7085994
T105811,2023-10-10T13:25:38.361413,ACC712064,ACC487736,366.37,withdrawal,other,Dubai,mobile,False,,,-0.63,18,0.0,ACH,31.191.209.121,D5327883
T105948,2023-10-20T22:27:52.858525,ACC159352,ACC240773,0.37,payment,online,New York,pos,False,,,1.32,2,0.46,card,43.82.40.204,D1422184
T105957,2023-12-29T07:27:59.517848,ACC774400,ACC984042,212.73,withdrawal,travel,Sydney,pos,False,,,0.18,17,0.35,UPI,72.206.248.115,D1266277
T105964,2023-07-10T20:38:02.532026,ACC556122,ACC822298,916.19,deposit,online,Tokyo,web,False,,,-1.36,2,0.74,ACH,206.47.221.223,D6888365
T106053,2023-02-04T04:37:29.068457,ACC542621,ACC839231,26.27,transfer,utilities,Tokyo,mobile,False,,,0.56,1,0.59,UPI,55.252.242.208,D5844775
T106071,2023-06-15T05:13:54.288805,ACC790409,ACC762554,9.98,transfer,online,Tokyo,mobile,False,,,-0.14,5,0.59,ACH,144.189.49.99,D2193393
T106104,2023-05-06T07:26:37.321869,ACC712641,ACC320276,906.49,deposit,grocery,Tokyo,pos,False,,,-0.31,4,0.73,card,186.238.181.2,D1603666
T106106,2023-12-19T16:18:42.023041,ACC216867,ACC517685,346.61,payment,entertainment,Singapore,atm,False,,,-0.52,13,0.16,wire_transfer,90.226.97.151,D5728207
T106139,2023-07-22T07:39:03.294890,ACC450547,ACC359408,638.62,withdrawal,grocery,Berlin,atm,False,,,-1.87,17,0.81,UPI,134.232.57.190,D5670760
T106164,2023-10-24T10:26:57.736684,ACC272846,ACC527899,2018.89,deposit,online,New York,mobile,False,,,2.33,6,0.21,UPI,228.18.173.73,D1681743
T106171,2023-02-06T02:12:18.284932,ACC513291,ACC139399,245.73,withdrawal,utilities,Berlin,pos,False,,,1.25,11,0.67,card,209.47.173.214,D6570592
T106198,2023-08-31T22:13:14.485958,ACC634453,ACC821608,80.05,withdrawal,utilities,New York,pos,False,,,-1.64,5,0.45,card,74.191.142.250,D4057000
T106216,2023-08-30T09:46:12.633974,ACC927521,ACC621100,175.33,payment,entertainment,Tokyo,web,False,,,-1.18,8,0.97,ACH,48.41.4.80,D8135305
T106219,2023-06-21T11:13:47.098839,ACC956306,ACC442360,37.01,payment,utilities,Dubai,web,False,,,0.29,7,0.94,card,9.215.95.46,D4675158
T106302,2023-02-10T12:55:11.395636,ACC897780,ACC695183,13.3,transfer,restaurant,Toronto,pos,False,,,-0.16,8,0.64,ACH,147.78.209.131,D6596561
T106323,2023-06-09T01:22:45.541592,ACC497063,ACC205541,755.06,deposit,restaurant,London,atm,False,,,0.11,16,0.14,wire_transfer,135.45.92.163,D9659679
T106340,2023-12-14T22:14:00.235567,ACC532538,ACC495554,849.68,deposit,online,Sydney,pos,False,,,0.78,11,0.63,ACH,57.181.17.113,D9263406
T106466,2023-08-10T12:35:07.161386,ACC269098,ACC848563,11.67,transfer,restaurant,Berlin,web,False,,,-0.43,2,0.47,card,241.196.109.51,D3724857
T106533,2023-04-18T15:07:26.460150,ACC335089,ACC405905,1423.91,deposit,grocery,London,mobile,False,,,0.57,12,0.09,ACH,6.72.151.142,D2337246
T106573,2023-11-05T10:21:10.245464,ACC459272,ACC746107,415.51,withdrawal,online,Tokyo,mobile,False,,,0.64,11,0.6,ACH,73.135.39.194,D2761404
T106587,2023-01-07T09:27:15.678317,ACC272246,ACC752658,65.26,payment,online,New York,web,False,,,1.56,14,0.1,wire_transfer,37.255.124.205,D4438686
T106598,2023-09-20T10:00:29.073523,ACC627220,ACC669883,8.06,transfer,travel,London,pos,False,,,0.27,10,0.67,ACH,69.244.208.160,D2913640
T106723,2023-12-24T18:35:17.831456,ACC496766,ACC120908,1113.96,deposit,other,Sydney,web,False,,,-0.1,13,0.13,card,47.130.165.47,D1710135
T106753,2023-01-13T06:02:51.114288,ACC625305,ACC700806,333.16,withdrawal,retail,Singapore,atm,False,,,-0.67,20,0.47,card,40.12.79.148,D6590820
T106789,2023-03-11T10:11:34.876214,ACC947387,ACC896123,483.8,withdrawal,utilities,Singapore,pos,False,,,-0.5,9,0.8,UPI,43.253.71.85,D5375298
