account_idx,account_id,archetype,is_business,business_hours,city,country,kyc_level,open_ts,account_age_days,dormant,baseline_out_per_day,baseline_amount_median,baseline_amount_sigma,night_ratio,monthly_income,popularity,employer_idx,salary_amount,salary_day,is_laundering,laundering_role,laundering_patterns,n_laundering_episodes,in_benign_lookalike
101,ACC000101,salary,False,False,Hyderabad,IN,min,1420243200,3651,False,0.324,2789.36,1.026,0.0658,106354.64,1.3314,1298,81584.76,7,0,,,0,1
102,ACC000102,salary,False,False,Delhi,IN,full,1541548800,2247,False,0.5578,3310.35,0.877,0.057,193384.73,1.1441,1354,170061.3,5,0,,,0,1
103,ACC000103,freelancer,False,False,Bengaluru,IN,full,1639267200,1116,False,0.8795,1303.78,1.36,0.0557,264249.35,1.1593,-1,0.0,0,0,,,0,1
104,ACC000104,household,False,False,Ahmedabad,IN,full,1581206400,1788,False,0.356,2962.12,1.068,0.041,30486.38,1.7459,-1,0.0,0,0,,,0,1
105,ACC000105,salary,False,False,Hyderabad,IN,full,1506038400,2658,True,0.0239,2910.12,0.97,0.0349,109651.1,0.7893,1083,94358.92,2,0,,,0,0
106,ACC000106,salary,False,False,Ahmedabad,IN,full,1504396800,2677,False,0.5514,2426.24,1.093,0.0756,191998.27,0.457,1197,163091.6,5,0,,,0,0
107,ACC000107,salary,False,False,Jaipur,IN,full,1500508800,2722,False,0.9153,1024.13,0.913,0.0222,136832.83,0.5197,1241,129149.82,2,0,,,0,1
108,ACC000108,merchant,True,True,Delhi,IN,full,1562112000,2009,True,0.0993,2316.35,0.703,0.086,5228629.27,104.2423,-1,0.0,0,0,,,0,0
109,ACC000109,salary,False,False,Hyderabad,IN,full,1399766400,3888,False,0.4456,1855.96,1.052,0.0224,152100.38,0.9473,512,121973.04,3,0,,,0,1
110,ACC000110,household,False,False,Ahmedabad,IN,full,1585180800,1742,False,0.432,637.28,0.817,0.0334,155089.24,0.8844,-1,0.0,0,0,,,0,0
111,ACC000111,investment,True,True,Mumbai,IN,min,1641340800,1092,False,0.0715,1431375.11,1.425,0.0389,32133388.62,10.0361,-1,0.0,0,0,,,0,0
112,ACC000112,salary,False,False,Hyderabad,IN,full,1509062400,2623,False,0.3284,752.88,0.973,0.0841,69995.67,0.8491,137,69365.22,1,0,,,0,1
113,ACC000113,salary,False,False,Ahmedabad,IN,min,1412035200,3746,False,0.1396,2815.2,1.081,0.0555,131159.08,1.22,611,108225.3,6,0,,,0,1
114,ACC000114,merchant,True,True,Mumbai,IN,full,1409184000,3779,False,3.4131,3822.41,0.747,0.0606,7283203.22,39.5143,-1,0.0,0,0,,,0,0
115,ACC000115,salary,False,False,Pune,IN,full,1430870400,3528,False,0.9691,2491.53,1.191,0.0616,234557.54,1.8876,558,217254.19,2,0,,,0,0
116,ACC000116,large_business,True,True,Mumbai,IN,full,1599696000,1574,False,7.6533,261250.1,1.672,0.0597,35574988.83,16.0897,-1,0.0,0,0,,,0,0
117,ACC000117,small_business,True,True,Pune,IN,full,1422576000,3624,False,0.9257,15669.19,1.358,0.0327,1514911.71,14.5742,-1,0.0,0,0,,,0,1
118,ACC000118,small_business,True,True,Jaipur,IN,full,1683590400,603,False,0.9007,10513.4,1.432,0.0299,1501736.15,14.8225,-1,0.0,0,0,,,0,0
119,ACC000119,student,False,False,Delhi,IN,min,1612137600,1430,False,0.1751,336.98,1.026,0.0836,14111.92,0.1675,-1,0.0,0,0,,,0,0
120,ACC000120,salary,False,False,Chennai,IN,full,1582070400,1778,False,0.2911,2241.42,0.975,0.0744,220438.23,2.3262,232,203463.94,3,0,,,0,0
121,ACC000121,salary,False,False,Jaipur,IN,full,1507161600,2645,False,0.3927,2269.71,0.908,0.0953,192931.12,1.1583,643,152123.99,1,0,,,0,1
122,ACC000122,salary,False,False,Chennai,IN,full,1682294400,618,False,0.5593,1428.49,1.075,0.0733,134177.66,1.0671,1032,128645.57,4,0,,,0,1
123,ACC000123,salary,False,False,Delhi,IN,full,1593216000,1649,True,0.009,3329.96,1.136,0.0256,116753.01,0.6061,1023,96270.46,3,0,,,0,1
124,ACC000124,salary,False,False,Chennai,IN,min,1574380800,1867,False,0.6547,3019.15,0.895,0.0256,155470.48,1.107,1023,153529.67,7,0,,,0,1
125,ACC000125,salary,False,False,Jaipur,IN,full,1441497600,3405,False,0.9926,1299.0,1.245,0.0425,149334.29,4.9362,297,137508.46,1,0,,,0,1
126,ACC000126,freelancer,False,False,Jaipur,MY,full,1729123200,76,False,0.3238,2521.04,1.178,0.1417,251957.37,2.6344,-1,0.0,0,0,,,0,1
127,ACC000127,small_business,True,True,Kochi,IN,full,1606262400,1498,False,1.4547,10616.09,1.069,0.0727,960943.88,1.5283,-1,0.0,0,0,,,0,0
128,ACC000128,salary,False,False,Mumbai,IN,full,1571616000,1899,False,1.4604,2210.13,1.246,0.0679,176628.27,1.1687,1202,171896.58,3,0,,,0,1
129,ACC000129,salary,False,False,Kochi,IN,full,1595376000,1624,False,0.9119,3485.34,1.229,0.0497,67187.88,0.3581,1263,54633.55,7,0,,,0,0
130,ACC000130,salary,False,False,Mumbai,IN,full,1731456000,49,False,0.2704,3207.29,1.025,0.069,238092.13,0.53,1167,201291.05,4,0,,,0,1
131,ACC000131,salary,False,False,Hyderabad,IN,full,1468108800,3097,False,0.7251,3106.52,1.199,0.0773,222382.36,1.0758,244,202977.85,1,0,,,0,1
132,ACC000132,freelancer,False,False,Bengaluru,IN,min,1410220800,3767,False,0.3497,4647.11,1.42,0.1368,135654.54,2.3284,-1,0.0,0,0,,,0,1
133,ACC000133,student,False,False,Kochi,IN,full,1701561600,395,False,0.1416,148.03,0.901,0.1062,7342.64,0.1357,-1,0.0,0,0,,,0,1
134,ACC000134,small_business,True,True,Ahmedabad,IN,full,1530576000,2374,False,0.8586,24196.26,1.164,0.0509,804164.55,9.0575,-1,0.0,0,1,destination|intermediary,circular_flow|dormant_activation|layering_chain,4,0
135,ACC000135,student,False,False,Bengaluru,IN,full,1457654400,3218,False,0.779,856.79,0.8,0.0704,14132.75,0.9403,-1,0.0,0,0,,,0,0
136,ACC000136,salary,False,False,Jaipur,IN,full,1520812800,2487,False,0.3939,1721.04,1.051,0.0493,150298.9,0.5525,430,137959.85,4,0,,,0,1
137,ACC000137,large_business,True,True,Chennai,IN,full,1395964800,3932,False,8.5237,136527.17,1.121,0.0151,96838745.07,10.5311,-1,0.0,0,0,,,0,1
138,ACC000138,small_business,True,True,Jaipur,IN,min,1710115200,296,False,2.4517,12883.06,1.068,0.0778,3675195.3,5.8343,-1,0.0,0,0,,,0,0
139,ACC000139,freelancer,False,False,Ahmedabad,IN,min,1731110400,53,True,0.0144,2650.65,1.383,0.0583,50484.49,2.4778,-1,0.0,0,0,,,0,0
140,ACC000140,salary,False,False,Kolkata,IN,full,1526860800,2417,False,0.2401,604.56,1.12,0.0625,214720.67,1.7734,75,190324.91,2,1,intermediary|mule,fan_in|fan_out|layering_chain|mule_network,5,1
141,ACC000141,merchant,True,True,Delhi,IN,min,1546214400,2193,False,1.2391,1925.51,0.955,0.0475,1674782.46,24.7979,-1,0.0,0,0,,,0,0
142,ACC000142,student,False,False,Delhi,IN,full,1574035200,1871,False,0.1507,566.6,0.959,0.1626,8033.48,0.7514,-1,0.0,0,0,,,0,1
143,ACC000143,small_business,True,True,Ahmedabad,IN,min,1712188800,272,True,0.0399,20274.85,1.041,0.0777,3238810.61,5.1635,-1,0.0,0,0,,,0,0
144,ACC000144,household,False,False,Pune,IN,full,1488758400,2858,False,0.2448,2429.53,0.843,0.0475,111086.59,0.4916,-1,0.0,0,1,mule,fan_in|fan_out,2,0
145,ACC000145,large_business,True,True,Kolkata,IN,min,1487894400,2868,False,9.408,69105.63,1.613,0.0135,106314308.48,11.2156,-1,0.0,0,0,,,0,0
146,ACC000146,large_business,True,True,Bengaluru,IN,full,1414195200,3721,False,3.2719,222424.49,1.101,0.0196,21708038.31,8.192,-1,0.0,0,0,,,0,0
147,ACC000147,salary,False,False,Hyderabad,IN,full,1546905600,2185,False,0.4335,808.15,1.132,0.0664,93938.0,1.669,1187,85190.03,7,0,,,0,1
148,ACC000148,investment,True,True,Bengaluru,IN,full,1550793600,2140,False,0.1469,575851.85,1.364,0.0394,28504252.88,30.337,-1,0.0,0,0,,,0,0
149,ACC000149,salary,False,False,Bengaluru,IN,full,1410307200,3766,False,0.6024,1364.39,0.912,0.0533,193602.08,2.008,146,191997.72,7,0,,,0,1
150,ACC000150,small_business,True,True,Chennai,IN,full,1433030400,3503,False,1.6261,23192.56,1.244,0.0227,3278743.69,8.3846,-1,0.0,0,0,,,0,0
151,ACC000151,merchant,True,True,Hyderabad,IN,min,1567382400,1948,False,5.6548,352.38,1.052,0.1335,7909573.85,113.6739,-1,0.0,0,0,,,0,0
152,ACC000152,student,False,False,Bengaluru,IN,full,1402617600,3855,False,0.1898,216.52,1.022,0.1016,4190.14,0.5116,-1,0.0,0,0,,,0,0
153,ACC000153,salary,False,False,Bengaluru,IN,min,1450656000,3299,False,0.3841,1292.89,1.248,0.0277,103361.85,0.5789,1277,98711.2,1,0,,,0,1
154,ACC000154,salary,False,False,Jaipur,IN,full,1585612800,1737,False,0.4544,967.06,1.182,0.0326,102170.61,1.9936,253,93203.79,3,0,,,0,0
155,ACC000155,small_business,True,True,Mumbai,IN,full,1470096000,3074,False,1.5929,6670.09,1.309,0.0681,857312.1,10.2248,-1,0.0,0,0,,,0,0
156,ACC000156,small_business,True,True,Delhi,IN,full,1426291200,3581,False,1.7408,14225.2,1.149,0.0478,1478178.93,21.5908,-1,0.0,0,1,destination|intermediary,layering_chain|rapid_pass_through,2,1
157,ACC000157,salary,False,False,Pune,IN,min,1485993600,2890,False,0.9002,2561.66,1.106,0.059,225995.5,1.3877,82,204570.51,1,0,,,0,1
158,ACC000158,merchant,True,True,Hyderabad,IN,full,1581033600,1790,False,1.2072,1587.3,0.778,0.1208,7982972.6,147.8998,-1,0.0,0,0,,,0,0
159,ACC000159,freelancer,False,False,Hyderabad,IN,full,1649203200,1001,False,0.4295,1851.76,1.4,0.1541,240174.86,3.8932,-1,0.0,0,0,,,0,1
160,ACC000160,freelancer,False,False,Delhi,IN,min,1409184000,3779,False,0.4933,5133.2,1.055,0.15,304784.51,0.9452,-1,0.0,0,1,mule,fan_in|fan_out,4,1
161,ACC000161,merchant,True,True,Pune,IN,full,1477872000,2984,False,3.9199,1687.47,0.858,0.1031,7686778.14,70.6296,-1,0.0,0,0,,,0,0
162,ACC000162,salary,False,False,Kolkata,IN,full,1445990400,3353,False,0.7886,1825.03,0.907,0.064,104541.28,0.5885,1023,81851.76,6,0,,,0,0
