episode_id,pattern,family,is_laundering,duration_hours,total_amount,n_transactions,n_accounts,difficulty,start_time,end_time
L000021,fan_in,laundering,1,140.558,368260.61,32,33,0.5,2025-01-23 19:59:09,2025-01-29 16:32:38
B000022,payroll_fanout,benign_lookalike,0,11.16,3929762.11,65,66,0.5,2025-01-18 09:10:34,2025-01-18 20:20:10
B000023,payroll_fanout,benign_lookalike,0,14.47,2571151.49,36,37,0.5,2025-01-25 04:06:21,2025-01-25 18:34:33
B000024,supplier_passthrough,benign_lookalike,0,6.427,563680.77,6,7,0.5,2025-01-14 10:39:05,2025-01-14 17:04:42
B000025,installment_split,benign_lookalike,0,709.014,869542.45,10,2,0.5,2025-01-01 10:59:07,2025-01-30 23:59:59
L000026,smurfing,laundering,1,243.223,1998485.66,22,7,0.5,2025-01-18 19:49:04,2025-01-28 23:02:28
B000027,supplier_passthrough,benign_lookalike,0,8.381,1917106.19,8,9,0.5,2025-01-11 09:30:41,2025-01-11 17:53:32
L000028,smurfing,laundering,1,238.744,1998907.19,20,7,0.5,2025-01-20 18:48:15,2025-01-30 17:32:54
B000029,supplier_passthrough,benign_lookalike,0,26.82,1065237.58,7,8,0.5,2025-01-11 11:53:58,2025-01-12 14:43:11
B000030,supplier_passthrough,benign_lookalike,0,3.284,165757.04,4,5,0.5,2025-01-19 10:51:22,2025-01-19 14:08:23
B000031,treasury_cycle,benign_lookalike,0,229.001,3755868.21,5,5,0.5,2025-01-05 14:14:42,2025-01-15 03:14:47
B000032,installment_split,benign_lookalike,0,704.625,758776.82,6,2,0.5,2025-01-01 15:22:29,2025-01-30 23:59:59
B000033,supplier_passthrough,benign_lookalike,0,29.216,1236868.96,8,9,0.5,2025-01-18 03:05:31,2025-01-19 08:18:30
B000034,installment_split,benign_lookalike,0,708.839,1544611.46,8,2,0.5,2025-01-01 11:09:40,2025-01-30 23:59:59
B000035,payroll_fanout,benign_lookalike,0,17.184,6014023.37,83,84,0.5,2025-01-23 01:24:39,2025-01-23 18:35:42
B000036,marketplace_fanin,benign_lookalike,0,38.967,374910.74,92,93,0.5,2025-01-23 07:41:51,2025-01-24 22:39:51
B000037,treasury_cycle,benign_lookalike,0,86.564,18005364.92,4,4,0.5,2025-01-03 11:55:44,2025-01-07 02:29:34
L000038,layering_chain,laundering,1,66.641,3744277.92,9,6,0.5,2025-01-08 16:18:47,2025-01-11 10:57:14
B000039,payroll_fanout,benign_lookalike,0,15.934,2206315.72,36,37,0.5,2025-01-15 02:39:02,2025-01-15 18:35:06
B000040,installment_split,benign_lookalike,0,719.529,724825.62,7,2,0.5,2025-01-01 00:28:14,2025-01-30 23:59:59
L000041,dormant_activation,laundering,1,201.086,5598578.72,8,3,0.5,2025-01-06 12:51:34,2025-01-14 21:56:43
L000042,layering_chain,laundering,1,156.183,2783008.71,10,7,0.5,2025-01-03 07:29:47,2025-01-09 19:40:45
B000043,installment_split,benign_lookalike,0,710.427,614430.2,6,2,0.5,2025-01-01 09:34:23,2025-01-30 23:59:59
L000044,fan_in,laundering,1,137.38,834288.04,35,36,0.5,2025-01-18 07:21:45,2025-01-24 00:44:32
B000045,marketplace_fanin,benign_lookalike,0,38.901,82700.31,105,106,0.5,2025-01-05 07:40:52,2025-01-06 22:34:54
L000046,rapid_pass_through,laundering,1,230.272,10231801.05,12,6,0.5,2025-01-12 20:03:11,2025-01-22 10:19:30
L000047,mule_network,laundering,1,93.903,36509669.85,33,16,0.5,2025-01-14 20:57:53,2025-01-18 18:52:04
B000048,supplier_passthrough,benign_lookalike,0,4.145,134631.79,4,5,0.5,2025-01-19 15:33:48,2025-01-19 19:42:31
B000049,supplier_passthrough,benign_lookalike,0,11.397,634816.44,6,7,0.5,2025-01-10 05:46:40,2025-01-10 17:10:30
B000050,marketplace_fanin,benign_lookalike,0,21.656,131075.44,30,31,0.5,2025-01-05 00:44:04,2025-01-05 22:23:27
L000051,layering_chain,laundering,1,78.653,1106022.75,6,6,0.5,2025-01-05 15:17:37,2025-01-08 21:56:49
B000052,treasury_cycle,benign_lookalike,0,124.34,9351588.4,3,3,0.5,2025-01-13 10:01:10,2025-01-18 14:21:34
B000053,marketplace_fanin,benign_lookalike,0,39.239,707250.23,123,124,0.5,2025-01-14 07:33:03,2025-01-15 22:47:22
B000054,payroll_fanout,benign_lookalike,0,13.084,5176203.15,62,63,0.5,2025-01-23 05:53:43,2025-01-23 18:58:47
B000055,installment_split,benign_lookalike,0,703.586,835627.17,7,2,0.5,2025-01-01 16:24:51,2025-01-30 23:59:59
L000056,mule_network,laundering,1,76.152,909306.62,24,15,0.5,2025-01-15 11:20:25,2025-01-18 15:29:32
B000057,supplier_passthrough,benign_lookalike,0,9.193,37365.31,5,6,0.5,2025-01-14 11:28:03,2025-01-14 20:39:38
B000058,treasury_cycle,benign_lookalike,0,183.249,46968016.96,5,5,0.5,2025-01-08 14:36:26,2025-01-16 05:51:24
B000059,supplier_passthrough,benign_lookalike,0,7.565,2039485.62,6,7,0.5,2025-01-04 10:09:09,2025-01-04 17:43:03
L000060,layering_chain,laundering,1,56.886,4306518.56,5,6,0.5,2025-01-07 07:50:52,2025-01-09 16:44:00
B000061,supplier_passthrough,benign_lookalike,0,10.526,462839.2,5,6,0.5,2025-01-10 05:47:56,2025-01-10 16:19:30
B000062,treasury_cycle,benign_lookalike,0,133.489,5904984.26,3,3,0.5,2025-01-07 14:03:07,2025-01-13 03:32:28
L000063,circular_flow,laundering,1,122.334,32176309.72,10,5,0.5,2025-01-01 10:54:01,2025-01-06 13:14:03
L000064,fan_out,laundering,1,120.933,2693001.27,39,40,0.5,2025-01-17 12:44:09,2025-01-22 13:40:07
B000065,supplier_passthrough,benign_lookalike,0,4.836,98799.34,4,5,0.5,2025-01-09 09:52:52,2025-01-09 14:43:00
B000066,treasury_cycle,benign_lookalike,0,53.28,1108411.14,3,3,0.5,2025-01-10 23:34:53,2025-01-13 04:51:40
B000067,supplier_passthrough,benign_lookalike,0,16.245,931163.55,7,8,0.5,2025-01-07 11:53:16,2025-01-08 04:07:57
B000068,payroll_fanout,benign_lookalike,0,12.07,5053588.56,68,69,0.5,2025-01-24 06:54:44,2025-01-24 18:58:56
B000069,supplier_passthrough,benign_lookalike,0,6.986,1286719.41,7,8,0.5,2025-01-04 09:52:56,2025-01-04 16:52:05
B000070,payroll_fanout,benign_lookalike,0,29.977,2823267.31,42,43,0.5,2025-01-28 10:05:44,2025-01-29 16:04:22
L000071,rapid_pass_through,laundering,1,49.389,13201678.82,12,7,0.5,2025-01-15 11:09:48,2025-01-17 12:33:08
B000072,installment_split,benign_lookalike,0,710.591,1656162.31,12,2,0.5,2025-01-01 09:24:30,2025-01-30 23:59:59
L000073,rapid_pass_through,laundering,1,208.493,18192494.45,15,8,0.5,2025-01-01 15:11:35,2025-01-10 07:41:09
L000074,fan_out,laundering,1,127.517,304165.92,40,41,0.5,2025-01-08 11:20:15,2025-01-13 18:51:16
B000075,installment_split,benign_lookalike,0,719.216,1836450.76,9,2,0.5,2025-01-01 00:47:03,2025-01-30 23:59:59
L000076,smurfing,laundering,1,265.133,2001181.82,23,7,0.5,2025-01-06 20:00:08,2025-01-17 21:08:08
L000077,circular_flow,laundering,1,19.67,1735697.73,4,4,0.5,2025-01-06 14:39:06,2025-01-07 10:19:19
L000078,layering_chain,laundering,1,81.04,21951412.73,5,6,0.5,2025-01-04 10:37:24,2025-01-07 19:39:49
L000079,fan_out,laundering,1,109.489,3817041.15,39,40,0.5,2025-01-08 08:46:39,2025-01-12 22:15:58
L000080,fan_in,laundering,1,135.059,4537646.17,33,33,0.5,2025-01-09 06:51:55,2025-01-14 21:55:26
B000081,installment_split,benign_lookalike,0,703.062,703690.85,8,2,0.5,2025-01-01 16:56:17,2025-01-30 23:59:59
B000082,supplier_passthrough,benign_lookalike,0,4.468,188218.25,6,7,0.5,2025-01-04 20:21:25,2025-01-05 00:49:29
L000083,circular_flow,laundering,1,87.871,2001870.54,6,6,0.5,2025-01-07 11:33:15,2025-01-11 03:25:30
L000084,dormant_activation,laundering,1,185.453,1603064.75,12,3,0.5,2025-01-15 04:44:38,2025-01-22 22:11:50
B000085,payroll_fanout,benign_lookalike,0,31.163,5794060.15,87,88,0.5,2025-01-20 09:34:46,2025-01-21 16:44:33
B000086,marketplace_fanin,benign_lookalike,0,38.942,496755.76,138,139,0.5,2025-01-11 07:00:05,2025-01-12 21:56:36
B000087,supplier_passthrough,benign_lookalike,0,37.107,85421.79,5,6,0.5,2025-01-18 02:28:10,2025-01-19 15:34:35
L000088,layering_chain,laundering,1,63.922,19521082.47,10,7,0.5,2025-01-04 23:35:41,2025-01-07 15:31:02
B000089,installment_split,benign_lookalike,0,600.107,724049.51,4,2,0.5,2025-01-01 00:23:29,2025-01-26 00:29:53
B000090,supplier_passthrough,benign_lookalike,0,9.49,170803.07,5,6,0.5,2025-01-15 16:05:18,2025-01-16 01:34:42
L000091,circular_flow,laundering,1,105.612,895281.49,8,4,0.5,2025-01-01 04:21:14,2025-01-05 13:57:57
L000092,mule_network,laundering,1,82.1,3190850.94,29,16,0.5,2025-01-15 08:38:47,2025-01-18 18:44:46
B000093,installment_split,benign_lookalike,0,702.66,1257083.12,12,2,0.5,2025-01-01 17:20:24,2025-01-30 23:59:59
B000094,supplier_passthrough,benign_lookalike,0,2.449,100074.65,4,5,0.5,2025-01-15 15:03:03,2025-01-15 17:29:58
B000095,supplier_passthrough,benign_lookalike,0,11.378,2036322.23,6,7,0.5,2025-01-12 16:42:28,2025-01-13 04:05:10
