txn_id,timestamp,sender,receiver,amount,channel,sender_country,receiver_country,cross_border,episode_id,pattern,is_laundering
T000000042,2025-01-01 03:17:43,ACC000733,ACC000477,24300.0,IMPS,IN,IN,0,,normal,0
T000000043,2025-01-01 03:17:58,ACC000182,ACC000116,4490.0,IMPS,IN,IN,0,,normal,0
T000000044,2025-01-01 03:18:17,ACC000185,ACC000076,783.49,UPI,IN,IN,0,,normal,0
T000000045,2025-01-01 03:21:31,ACC001021,ACC000042,1460.62,UPI,IN,IN,0,,normal,0
T000000046,2025-01-01 03:22:33,ACC000543,ACC000865,119519.63,SWIFT,CY,IN,1,,normal,0
T000000047,2025-01-01 03:27:30,ACC000099,ACC000762,748.01,UPI,IN,IN,0,,normal,0
T000000048,2025-01-01 03:27:38,ACC001364,ACC001387,525.47,UPI,IN,IN,0,,normal,0
T000000049,2025-01-01 03:29:01,ACC000264,ACC000686,65883.15,NEFT,IN,IN,0,,normal,0
T000000050,2025-01-01 03:33:33,ACC001081,ACC000269,960.0,UPI,IN,IN,0,,normal,0
T000000051,2025-01-01 03:35:25,ACC001090,ACC000787,51000.0,UPI,IN,IN,0,,normal,0
T000000052,2025-01-01 03:36:16,ACC001271,ACC000595,679.49,UPI,IN,IN,0,,normal,0
T000000053,2025-01-01 03:42:12,ACC000726,ACC000165,3833.06,UPI,IN,IN,0,,normal,0
T000000054,2025-01-01 03:45:53,ACC001079,ACC000333,2777.58,CARD,IN,IN,0,,normal,0
T000000055,2025-01-01 03:51:39,ACC000590,ACC000859,3180.0,UPI,IN,IN,0,,normal,0
T000000056,2025-01-01 03:55:06,ACC000090,ACC001178,33800.0,UPI,IN,IN,0,,normal,0
T000000057,2025-01-01 03:57:27,ACC000512,ACC001477,460.0,UPI,IN,IN,0,,normal,0
T000000058,2025-01-01 03:57:45,ACC000364,ACC000985,337.71,UPI,IN,IN,0,,normal,0
T000000059,2025-01-01 03:58:05,ACC001092,ACC001362,680.0,UPI,IN,IN,0,,normal,0
T000000060,2025-01-01 03:59:57,ACC001242,ACC000114,2786.69,UPI,IN,IN,0,,normal,0
T000000061,2025-01-01 04:01:20,ACC001208,ACC000535,13525.79,IMPS,IN,IN,0,,normal,0
T000000062,2025-01-01 04:05:21,ACC001206,ACC000041,4400.0,CARD,IN,IN,0,,normal,0
T000000063,2025-01-01 04:09:08,ACC000462,ACC000426,2930.0,IMPS,IN,IN,0,,normal,0
T000000064,2025-01-01 04:09:51,ACC001079,ACC000284,2530.29,IMPS,IN,IN,0,,normal,0
T000000065,2025-01-01 04:15:22,ACC000298,ACC001202,2499.46,IMPS,IN,IN,0,,normal,0
T000000066,2025-01-01 04:20:42,ACC001032,ACC000766,355724.47,NEFT,IN,IN,0,,normal,0
T000000067,2025-01-01 04:21:14,ACC001257,ACC000265,132000.0,NEFT,IN,IN,0,L000091,circular_flow,1
T000000068,2025-01-01 04:21:49,ACC001364,ACC001082,63721.99,IMPS,IN,IN,0,,normal,0
T000000069,2025-01-01 04:29:34,ACC000589,ACC000151,125000.0,IMPS,IN,IN,0,,normal,0
T000000070,2025-01-01 04:32:14,ACC001121,ACC000963,4820.0,NEFT,IN,IN,0,,normal,0
T000000071,2025-01-01 04:32:43,ACC000440,ACC001486,2340.0,IMPS,IN,IN,0,,normal,0
T000000072,2025-01-01 04:41:58,ACC000186,ACC001072,520.83,UPI,IN,IN,0,,normal,0
T000000073,2025-01-01 04:43:37,ACC000775,ACC000246,11421.6,NEFT,IN,IN,0,,normal,0
T000000074,2025-01-01 04:47:17,ACC000556,ACC001262,990.0,UPI,IN,IN,0,,normal,0
T000000075,2025-01-01 04:47:29,ACC000865,ACC000539,1775.71,CARD,IN,IN,0,,normal,0
T000000076,2025-01-01 04:50:24,ACC000044,ACC000865,187000.0,NEFT,IN,IN,0,,normal,0
T000000077,2025-01-01 04:56:52,ACC000463,ACC001328,7200.0,NEFT,IN,IN,0,,normal,0
T000000078,2025-01-01 04:57:58,ACC000333,ACC000637,1853.67,UPI,IN,IN,0,,normal,0
T000000079,2025-01-01 05:09:45,ACC000075,ACC000071,3192554.92,RTGS,IN,IN,0,L000013,layering_chain,1
T000000080,2025-01-01 05:16:20,ACC001261,ACC001387,340.91,UPI,IN,IN,0,,normal,0
T000000081,2025-01-01 05:21:23,ACC001274,ACC001262,617.19,UPI,IN,IN,0,,normal,0
T000000082,2025-01-01 05:27:30,ACC001453,ACC000164,2690.0,IMPS,IN,IN,0,,normal,0
T000000083,2025-01-01 05:28:30,ACC001197,ACC000722,615972.11,IMPS,IN,IN,0,,normal,0
T000000084,2025-01-01 05:35:16,ACC001320,ACC000151,959.74,UPI,IN,IN,0,,normal,0
T000000085,2025-01-01 05:38:22,ACC000268,ACC000476,4855.8,IMPS,IN,IN,0,,normal,0
T000000086,2025-01-01 05:48:35,ACC001138,ACC000509,49730.29,IMPS,IN,IN,0,,normal,0
T000000087,2025-01-01 05:58:36,ACC000810,ACC000807,2484.2,UPI,IN,IN,0,,normal,0
T000000088,2025-01-01 05:59:11,ACC001273,ACC000766,12465.97,CARD,IN,IN,0,,normal,0
T000000089,2025-01-01 07:03:29,ACC000810,ACC000402,1928.99,UPI,IN,IN,0,,normal,0
T000000090,2025-01-01 07:04:01,ACC001185,ACC000991,1960.0,UPI,IN,IN,0,,normal,0
T000000091,2025-01-01 07:05:22,ACC000539,ACC000391,936.42,CARD,IN,IN,0,,normal,0
T000000092,2025-01-01 07:06:20,ACC000268,ACC000008,1707.05,UPI,IN,IN,0,,normal,0
T000000093,2025-01-01 07:06:34,ACC000824,ACC001466,29000.0,UPI,IN,IN,0,,normal,0
T000000094,2025-01-01 07:06:50,ACC000368,ACC001226,2059.43,IMPS,IN,IN,0,,normal,0
T000000095,2025-01-01 07:08:43,ACC000681,ACC000314,83497.21,UPI,IN,IN,0,,normal,0
T000000096,2025-01-01 07:08:53,ACC000579,ACC000269,960.0,UPI,IN,IN,0,,normal,0
T000000097,2025-01-01 07:08:58,ACC000512,ACC000454,960.0,UPI,IN,IN,0,,normal,0
T000000098,2025-01-01 07:09:07,ACC001026,ACC000076,561000.0,NEFT,IN,IN,0,,normal,0
T000000099,2025-01-01 07:10:32,ACC000894,ACC001383,1160.72,UPI,IN,IN,0,,normal,0
T000000100,2025-01-01 07:12:06,ACC000265,ACC000875,525.49,UPI,IN,IN,0,,normal,0
T000000101,2025-01-01 07:12:14,ACC000810,ACC000539,2071.7,UPI,IN,IN,0,,normal,0
T000000102,2025-01-01 07:12:45,ACC000511,ACC001410,254.87,UPI,IN,IN,0,,normal,0
T000000103,2025-01-01 07:14:06,ACC001385,ACC000117,1700.0,UPI,IN,IN,0,,normal,0
T000000104,2025-01-01 07:15:08,ACC000426,ACC001320,4464.91,UPI,IN,IN,0,,normal,0
T000000105,2025-01-01 07:16:09,ACC001034,ACC000861,1386.34,UPI,IN,IN,0,,normal,0
T000000106,2025-01-01 07:16:26,ACC001304,ACC000039,660.0,UPI,IN,IN,0,,normal,0
T000000107,2025-01-01 07:16:59,ACC000861,ACC001362,245674.52,RTGS,IN,IN,0,,normal,0
T000000108,2025-01-01 07:17:39,ACC000467,ACC001081,2180.0,IMPS,IN,IN,0,,normal,0
T000000109,2025-01-01 07:17:46,ACC000810,ACC000118,1256.34,UPI,IN,IN,0,,normal,0
T000000110,2025-01-01 07:21:30,ACC001489,ACC000614,766.44,UPI,IN,IN,0,,normal,0
T000000111,2025-01-01 07:21:59,ACC000056,ACC000425,2387.54,CARD,IN,IN,0,,normal,0
T000000112,2025-01-01 07:22:38,ACC000085,ACC000618,8834.19,NEFT,IN,IN,0,,normal,0
T000000113,2025-01-01 07:23:40,ACC000992,ACC000182,3312.74,IMPS,IN,IN,0,,normal,0
T000000114,2025-01-01 07:24:24,ACC000071,ACC000983,1583.34,CARD,IN,IN,0,,normal,0
T000000115,2025-01-01 07:25:41,ACC001418,ACC000114,2750.0,CARD,IN,IN,0,,normal,0
T000000116,2025-01-01 07:25:43,ACC000076,ACC000168,575033.93,NEFT,IN,IN,0,,normal,0
T000000117,2025-01-01 07:25:45,ACC000714,ACC000036,117000.0,NEFT,IN,IN,0,,normal,0
T000000118,2025-01-01 07:25:55,ACC001389,ACC000091,257.93,UPI,IN,IN,0,,normal,0
T000000119,2025-01-01 07:27:47,ACC001097,ACC000681,1140.0,UPI,IN,IN,0,,normal,0
T000000120,2025-01-01 07:28:11,ACC001148,ACC001341,638133.39,IMPS,IN,IN,0,,normal,0
T000000121,2025-01-01 07:28:16,ACC000082,ACC000101,767000.0,NEFT,IN,IN,0,,normal,0
T000000122,2025-01-01 07:29:34,ACC001386,ACC000796,5285.2,IMPS,IN,IN,0,,normal,0
T000000123,2025-01-01 07:30:28,ACC001210,ACC000291,329.55,CARD,IN,IN,0,,normal,0
T000000124,2025-01-01 07:31:12,ACC000649,ACC000518,116243.66,RTGS,IN,IN,0,,normal,0
T000000125,2025-01-01 07:31:37,ACC000430,ACC000036,6137.45,UPI,IN,IN,0,,normal,0
T000000126,2025-01-01 07:32:35,ACC000848,ACC001208,820.23,UPI,IN,IN,0,,normal,0
T000000127,2025-01-01 07:33:14,ACC000239,ACC001362,1554.38,UPI,IN,IN,0,,normal,0
T000000128,2025-01-01 07:36:16,ACC001448,ACC000177,782.73,UPI,IN,IN,0,,normal,0
T000000129,2025-01-01 07:36:34,ACC001053,ACC001274,2011.93,NEFT,IN,IN,0,,normal,0
T000000130,2025-01-01 07:37:04,ACC001219,ACC000116,4630.0,IMPS,IN,IN,0,,normal,0
T000000131,2025-01-01 07:39:07,ACC000546,ACC001389,19521.99,IMPS,IN,IN,0,,normal,0
T000000132,2025-01-01 07:39:53,ACC000636,ACC001032,11441.43,CARD,IN,IN,0,,normal,0
T000000133,2025-01-01 07:40:29,ACC001154,ACC000642,2239.6,UPI,IN,IN,0,,normal,0
T000000134,2025-01-01 07:41:23,ACC001012,ACC001045,66504.66,IMPS,IN,IN,0,,normal,0
T000000135,2025-01-01 07:41:54,ACC000333,ACC000630,815.19,UPI,IN,IN,0,,normal,0
T000000136,2025-01-01 07:43:41,ACC000610,ACC000923,174000.0,IMPS,IN,IN,0,,normal,0
T000000137,2025-01-01 07:43:55,ACC000384,ACC001374,372.3,UPI,IN,IN,0,,normal,0
T000000138,2025-01-01 07:45:41,ACC001229,ACC000151,30491.57,UPI,IN,IN,0,,normal,0
T000000139,2025-01-01 07:46:02,ACC000533,ACC000181,8770.56,UPI,IN,IN,0,,normal,0
T000000140,2025-01-01 07:46:58,ACC000775,ACC000760,1730.85,UPI,IN,IN,0,,normal,0
T000000141,2025-01-01 07:47:03,ACC000127,ACC000766,2696.46,IMPS,IN,IN,0,,normal,0
T000000142,2025-01-01 07:49:55,ACC000861,ACC000167,723000.0,IMPS,IN,IN,0,,normal,0
T000000143,2025-01-01 07:51:01,ACC000264,ACC000039,8800.0,CARD,IN,IN,0,,normal,0
T000000144,2025-01-01 07:51:32,ACC001378,ACC000033,19066.72,IMPS,IN,IN,0,,normal,0
T000000145,2025-01-01 07:52:06,ACC001417,ACC000138,94325.13,IMPS,IN,IN,0,,normal,0
T000000146,2025-01-01 07:52:12,ACC001262,ACC001395,5015.15,IMPS,IN,IN,0,,normal,0
T000000147,2025-01-01 07:52:28,ACC001249,ACC000036,620.12,UPI,IN,IN,0,,normal,0
T000000148,2025-01-01 07:54:03,ACC000526,ACC000699,15600.0,UPI,IN,IN,0,,normal,0
T000000149,2025-01-01 07:54:06,ACC000289,ACC001447,3890.0,CARD,IN,IN,0,,normal,0
T000000150,2025-01-01 07:54:16,ACC001177,ACC000284,1264.89,UPI,IN,IN,0,,normal,0
T000000151,2025-01-01 07:54:22,ACC000643,ACC001387,1784.67,UPI,IN,IN,0,,normal,0
T000000152,2025-01-01 07:55:10,ACC001350,ACC000291,1417.08,UPI,IN,IN,0,,normal,0
T000000153,2025-01-01 07:56:11,ACC000919,ACC000042,15724.78,IMPS,IN,IN,0,,normal,0
T000000154,2025-01-01 07:57:49,ACC000207,ACC001286,12092.75,IMPS,IN,IN,0,,normal,0
T000000155,2025-01-01 07:58:30,ACC000424,ACC000090,2962000.0,RTGS,IN,IN,0,,normal,0
T000000156,2025-01-01 07:58:57,ACC000244,ACC001130,155376.92,RTGS,IN,IN,0,,normal,0
T000000157,2025-01-01 08:00:19,ACC001231,ACC000042,46114.68,IMPS,IN,IN,0,,normal,0
T000000158,2025-01-01 08:01:37,ACC000247,ACC001497,8108.36,IMPS,IN,IN,0,,normal,0
T000000159,2025-01-01 08:03:08,ACC000424,ACC000760,2112000.0,RTGS,IN,IN,0,,normal,0
T000000160,2025-01-01 08:03:30,ACC000999,ACC000784,26600.0,IMPS,IN,IN,0,,normal,0
T000000161,2025-01-01 08:05:52,ACC001313,ACC001185,2089.62,IMPS,IN,IN,0,,normal,0
T000000162,2025-01-01 08:07:34,ACC000391,ACC000022,297845.95,NEFT,IN,IN,0,,normal,0
T000000163,2025-01-01 08:09:39,ACC000873,ACC001026,823832.92,RTGS,IN,IN,0,,normal,0
T000000164,2025-01-01 08:13:48,ACC000463,ACC000244,5690.3,IMPS,IN,IN,0,,normal,0
T000000165,2025-01-01 08:13:58,ACC000029,ACC000339,215.82,CARD,IN,IN,0,,normal,0
T000000166,2025-01-01 08:15:05,ACC000602,ACC000339,90394.87,IMPS,IN,IN,0,,normal,0
T000000167,2025-01-01 08:16:20,ACC001251,ACC001018,423.43,UPI,IN,IN,0,,normal,0
T000000168,2025-01-01 08:19:02,ACC000561,ACC000239,6757.05,CARD,IN,IN,0,,normal,0
T000000169,2025-01-01 08:19:19,ACC000023,ACC000494,537.12,UPI,IN,IN,0,,normal,0
T000000170,2025-01-01 08:19:36,ACC001171,ACC001229,2017.69,UPI,IN,IN,0,,normal,0
T000000171,2025-01-01 08:20:00,ACC001464,ACC001339,56.2,CARD,IN,IN,0,,normal,0
T000000172,2025-01-01 08:20:57,ACC000462,ACC001497,1620.07,UPI,IN,IN,0,,normal,0
T000000173,2025-01-01 08:21:34,ACC001364,ACC001254,1745.55,UPI,IN,IN,0,,normal,0
T000000174,2025-01-01 08:25:25,ACC000999,ACC000289,22100.0,UPI,IN,IN,0,,normal,0
T000000175,2025-01-01 08:25:37,ACC000435,ACC001318,910.0,UPI,IN,IN,0,,normal,0
T000000176,2025-01-01 08:26:07,ACC000778,ACC000155,6300.0,NEFT,IN,IN,0,,normal,0
T000000177,2025-01-01 08:26:12,ACC001153,ACC000151,3364000.0,RTGS,IN,IN,0,,normal,0
T000000178,2025-01-01 08:26:30,ACC000085,ACC001328,11846.69,UPI,IN,IN,0,,normal,0
T000000179,2025-01-01 08:26:42,ACC001461,ACC000766,1161.98,UPI,IN,IN,0,,normal,0
T000000180,2025-01-01 08:26:59,ACC001334,ACC001127,1950.12,UPI,IN,IN,0,,normal,0
T000000181,2025-01-01 08:27:56,ACC000568,ACC000610,3541.53,NEFT,IN,IN,0,,normal,0
T000000182,2025-01-01 08:29:04,ACC000132,ACC001164,13356.56,SWIFT,IN,HK,1,,normal,0
T000000183,2025-01-01 08:29:38,ACC000810,ACC001339,1810.61,CARD,IN,IN,0,,normal,0
T000000184,2025-01-01 08:31:22,ACC001369,ACC000691,1325.82,CARD,IN,IN,0,,normal,0
T000000185,2025-01-01 08:34:39,ACC000843,ACC000545,3741.45,NEFT,IN,IN,0,,normal,0
T000000186,2025-01-01 08:35:43,ACC000477,ACC000766,1524.63,UPI,IN,IN,0,,normal,0
T000000187,2025-01-01 08:36:47,ACC001320,ACC000989,824.81,UPI,IN,IN,0,,normal,0
T000000188,2025-01-01 08:37:00,ACC001232,ACC001387,11138.4,IMPS,IN,IN,0,,normal,0
T000000189,2025-01-01 08:38:04,ACC000951,ACC000958,2653.59,CARD,IN,IN,0,,normal,0
T000000190,2025-01-01 08:38:48,ACC000384,ACC000828,259.55,UPI,IN,IN,0,,normal,0
T000000191,2025-01-01 08:39:00,ACC000424,ACC000557,109433.57,NEFT,IN,IN,0,,normal,0
T000000192,2025-01-01 08:39:30,ACC000161,ACC000291,1924.03,UPI,IN,IN,0,,normal,0
T000000193,2025-01-01 08:40:10,ACC000268,ACC000476,3567.55,IMPS,IN,IN,0,,normal,0
T000000194,2025-01-01 08:40:15,ACC000999,ACC000762,16100.0,UPI,IN,IN,0,,normal,0
T000000195,2025-01-01 08:42:01,ACC000604,ACC000963,1384869.59,IMPS,IN,IN,0,,normal,0
T000000196,2025-01-01 08:42:46,ACC000333,ACC000630,1690.0,UPI,IN,IN,0,,normal,0
T000000197,2025-01-01 08:43:45,ACC001076,ACC001320,2010.0,IMPS,IN,IN,0,,normal,0
T000000198,2025-01-01 08:44:32,ACC000449,ACC000766,8163.1,UPI,IN,IN,0,,normal,0
T000000199,2025-01-01 08:45:26,ACC000848,ACC000008,1500.39,CARD,IN,IN,0,,normal,0
T000000200,2025-01-01 08:46:16,ACC001016,ACC000970,16613.69,UPI,IN,IN,0,,normal,0
T000000201,2025-01-01 08:48:29,ACC000341,ACC000523,4349.43,UPI,IN,IN,0,,normal,0
T000000202,2025-01-01 08:55:17,ACC000789,ACC000763,6000.0,IMPS,IN,IN,0,,normal,0
T000000203,2025-01-01 08:55:52,ACC001228,ACC000687,492713.45,NEFT,IN,IN,0,,normal,0
T000000204,2025-01-01 08:56:36,ACC001249,ACC001493,1216.28,UPI,IN,IN,0,,normal,0
T000000205,2025-01-01 08:56:49,ACC000096,ACC000771,7900.0,UPI,IN,IN,0,,normal,0
T000000206,2025-01-01 08:59:08,ACC001038,ACC001471,3513.69,UPI,IN,IN,0,,normal,0
T000000207,2025-01-01 09:01:24,ACC000333,ACC000125,399.81,UPI,IN,IN,0,,normal,0
T000000208,2025-01-01 09:01:29,ACC000575,ACC000063,6300.0,UPI,IN,IN,0,,normal,0
T000000209,2025-01-01 09:02:03,ACC001183,ACC000108,33400.0,CARD,IN,IN,0,,normal,0
T000000210,2025-01-01 09:02:12,ACC000043,ACC001155,1670.0,UPI,IN,IN,0,,normal,0
T000000211,2025-01-01 09:04:17,ACC000509,ACC001153,4880.05,IMPS,IN,IN,0,,normal,0
T000000212,2025-01-01 09:04:35,ACC000151,ACC000919,590.0,CARD,IN,IN,0,,normal,0
T000000213,2025-01-01 09:04:35,ACC000859,ACC001275,3011.08,IMPS,IN,IN,0,,normal,0
T000000214,2025-01-01 09:04:54,ACC001276,ACC001388,971.22,UPI,IN,IN,0,,normal,0
T000000215,2025-01-01 09:05:31,ACC001432,ACC001229,855.06,UPI,IN,IN,0,,normal,0
T000000216,2025-01-01 09:06:18,ACC000424,ACC001249,482471.91,RTGS,IN,IN,0,,normal,0
T000000217,2025-01-01 09:06:21,ACC001364,ACC000108,6000.0,IMPS,IN,IN,0,,normal,0
T000000218,2025-01-01 09:06:42,ACC000537,ACC001466,326.49,UPI,IN,IN,0,,normal,0
T000000219,2025-01-01 09:07:40,ACC001325,ACC000339,4050.0,CARD,IN,IN,0,,normal,0
T000000220,2025-01-01 09:07:41,ACC000145,ACC000047,240599.96,NEFT,IN,IN,0,,normal,0
T000000221,2025-01-01 09:08:06,ACC001196,ACC000985,7712.03,UPI,IN,IN,0,,normal,0
T000000222,2025-01-01 09:08:23,ACC001249,ACC000686,183.58,UPI,IN,IN,0,,normal,0
T000000223,2025-01-01 09:08:47,ACC000849,ACC000033,9198.15,NEFT,IN,IN,0,,normal,0
T000000224,2025-01-01 09:08:48,ACC000636,ACC000168,549.47,CARD,IN,IN,0,,normal,0
T000000225,2025-01-01 09:09:30,ACC000090,ACC000202,10600.0,NEFT,IN,IN,0,,normal,0
T000000226,2025-01-01 09:09:50,ACC001397,ACC000783,34600.0,CARD,IN,IN,0,,normal,0
T000000227,2025-01-01 09:10:05,ACC000714,ACC000224,1326802.7,RTGS,IN,IN,0,,normal,0
T000000228,2025-01-01 09:11:25,ACC001290,ACC001155,1093.0,UPI,IN,IN,0,,normal,0
T000000229,2025-01-01 09:12:02,ACC000196,ACC001254,170.0,UPI,IN,IN,0,,normal,0
T000000230,2025-01-01 09:12:09,ACC000926,ACC001247,53146.08,UPI,IN,IN,0,,normal,0
T000000231,2025-01-01 09:12:33,ACC000970,ACC001364,341.96,UPI,IN,IN,0,,normal,0
T000000232,2025-01-01 09:13:18,ACC000849,ACC001147,242656.6,IMPS,IN,IN,0,,normal,0
T000000233,2025-01-01 09:13:51,ACC000548,ACC000239,726.45,UPI,IN,IN,0,,normal,0
T000000234,2025-01-01 09:14:01,ACC000919,ACC000042,1430.0,UPI,IN,IN,0,,normal,0
T000000235,2025-01-01 09:14:13,ACC001397,ACC001260,5893.0,IMPS,IN,IN,0,,normal,0
T000000236,2025-01-01 09:14:18,ACC000849,ACC000942,4317.34,NEFT,IN,IN,0,,normal,0
T000000237,2025-01-01 09:14:42,ACC000011,ACC001455,863.25,UPI,IN,IN,0,,normal,0
T000000238,2025-01-01 09:14:54,ACC001206,ACC001123,2340.0,CARD,IN,IN,0,,normal,0
T000000239,2025-01-01 09:15:06,ACC001169,ACC000179,20088.89,UPI,IN,IN,0,,normal,0
T000000240,2025-01-01 09:15:15,ACC000042,ACC000927,2346.65,UPI,IN,IN,0,,normal,0
T000000241,2025-01-01 09:16:00,ACC000582,ACC001477,60.0,UPI,IN,IN,0,,normal,0
T000000242,2025-01-01 09:16:13,ACC000280,ACC001387,51822.38,IMPS,IN,IN,0,,normal,0
T000000243,2025-01-01 09:16:33,ACC000508,ACC001299,334.11,UPI,IN,IN,0,,normal,0
T000000244,2025-01-01 09:16:46,ACC000096,ACC000424,11755.06,IMPS,IN,IN,0,,normal,0
T000000245,2025-01-01 09:17:36,ACC000861,ACC000564,224824.9,RTGS,IN,IN,0,,normal,0
T000000246,2025-01-01 09:18:01,ACC000584,ACC000062,4992.03,IMPS,IN,IN,0,,normal,0
T000000247,2025-01-01 09:18:14,ACC001098,ACC000117,9100.0,IMPS,IN,IN,0,,normal,0
T000000248,2025-01-01 09:18:19,ACC000171,ACC001228,151866.89,IMPS,IN,IN,0,,normal,0
T000000249,2025-01-01 09:18:32,ACC000168,ACC001206,4530.0,UPI,IN,IN,0,,normal,0
T000000250,2025-01-01 09:18:44,ACC000849,ACC001147,339449.7,RTGS,IN,IN,0,,normal,0
T000000251,2025-01-01 09:18:52,ACC000824,ACC000076,67000.0,IMPS,IN,IN,0,,normal,0
T000000252,2025-01-01 09:18:52,ACC000704,ACC001298,170595.79,IMPS,IN,IN,0,B000016,installment_split,0
T000000253,2025-01-01 09:18:53,ACC000161,ACC000291,610.0,UPI,IN,IN,0,,normal,0
T000000254,2025-01-01 09:19:01,ACC001023,ACC000794,446000.0,NEFT,IN,IN,0,,normal,0
T000000255,2025-01-01 09:19:10,ACC001233,ACC001389,5100.0,IMPS,IN,IN,0,,normal,0
T000000256,2025-01-01 09:19:50,ACC000604,ACC001486,231945.84,NEFT,IN,IN,0,,normal,0
T000000257,2025-01-01 09:20:04,ACC001300,ACC000333,1146384.21,IMPS,IN,IN,0,,normal,0
T000000258,2025-01-01 09:21:27,ACC001395,ACC000036,503793.35,RTGS,IN,IN,0,,normal,0
