sender,receiver,n_txns,total_amount,mean_amount,max_amount,n_laundering_txns,is_laundering_edge,lifespan_days,first_time,last_time
ACC000673,ACC000963,1,232000.0,232000.0,232000.0,0,0,0.0,2025-01-01 01:27:03,2025-01-01 01:27:03
ACC001092,ACC001362,2,1044.74,522.37,680.0,0,0,0.103,2025-01-01 01:30:10,2025-01-01 03:58:05
ACC001354,ACC001262,1,1929000.0,1929000.0,1929000.0,0,0,0.0,2025-01-01 01:31:21,2025-01-01 01:31:21
ACC000051,ACC001407,4,45061.69,11265.42,21200.0,0,0,14.689,2025-01-01 01:35:38,2025-01-15 18:07:27
ACC001375,ACC000793,1,195.38,195.38,195.38,0,0,0.0,2025-01-01 01:37:06,2025-01-01 01:37:06
ACC000268,ACC000185,2,5220.0,2610.0,4230.0,0,0,18.561,2025-01-01 01:42:24,2025-01-19 15:09:52
ACC001206,ACC000407,11,58011.01,5273.73,21486.08,0,0,29.65,2025-01-01 01:56:28,2025-01-30 17:32:36
ACC000180,ACC000686,2,9624.44,4812.22,9196.1,0,0,18.429,2025-01-01 02:00:15,2025-01-19 12:17:29
ACC000171,ACC000512,5,284798.33,56959.67,129000.0,0,0,25.728,2025-01-01 02:07:19,2025-01-26 19:35:14
ACC000250,ACC001231,3,7862.6,2620.87,6977.81,0,0,13.625,2025-01-01 02:12:13,2025-01-14 17:11:48
ACC001298,ACC000925,1,5600.0,5600.0,5600.0,0,0,0.0,2025-01-01 02:17:42,2025-01-01 02:17:42
ACC000738,ACC000607,19,123602.18,6505.38,24853.33,0,0,29.367,2025-01-01 02:19:34,2025-01-30 11:07:49
ACC000712,ACC000236,1,7267.9,7267.9,7267.9,0,0,0.0,2025-01-01 02:23:03,2025-01-01 02:23:03
ACC000847,ACC000712,9,136314.78,15146.09,50260.6,0,0,29.662,2025-01-01 02:24:55,2025-01-30 18:18:49
ACC001486,ACC001286,1,4313.88,4313.88,4313.88,0,0,0.0,2025-01-01 02:25:03,2025-01-01 02:25:03
ACC000539,ACC000758,1,560.0,560.0,560.0,0,0,0.0,2025-01-01 02:30:32,2025-01-01 02:30:32
ACC000597,ACC001417,5,39138.29,7827.66,16966.07,0,0,14.574,2025-01-01 02:46:32,2025-01-15 16:32:26
ACC001112,ACC001257,9,181604.14,20178.24,57000.0,0,0,23.296,2025-01-01 02:51:53,2025-01-24 09:58:05
ACC000264,ACC000637,44,1959511.16,44534.34,378000.0,0,0,27.372,2025-01-01 02:57:44,2025-01-28 11:53:26
ACC001369,ACC000384,6,2758.04,459.67,908.63,0,0,24.299,2025-01-01 02:58:28,2025-01-25 10:08:54
ACC000284,ACC001254,6,7228.38,1204.73,2950.0,0,0,18.179,2025-01-01 03:08:39,2025-01-19 07:26:06
ACC000548,ACC000284,1,1580.0,1580.0,1580.0,0,0,0.0,2025-01-01 03:10:39,2025-01-01 03:10:39
ACC000733,ACC000477,4,78545.25,19636.31,29430.21,0,0,15.318,2025-01-01 03:17:43,2025-01-16 10:56:21
ACC000182,ACC000116,2,37790.0,18895.0,33300.0,0,0,11.6,2025-01-01 03:17:58,2025-01-12 17:41:36
ACC000185,ACC000076,1,783.49,783.49,783.49,0,0,0.0,2025-01-01 03:18:17,2025-01-01 03:18:17
ACC001021,ACC000042,11,35409.16,3219.01,8730.5,0,0,21.425,2025-01-01 03:21:31,2025-01-22 13:32:48
ACC000543,ACC000865,3,196996.16,65665.39,119519.63,0,0,27.571,2025-01-01 03:22:33,2025-01-28 17:04:31
ACC000099,ACC000762,3,8490.4,2830.13,7462.39,0,0,24.779,2025-01-01 03:27:30,2025-01-25 22:09:57
ACC001364,ACC001387,5,24487.81,4897.56,11558.06,0,0,29.26,2025-01-01 03:27:38,2025-01-30 09:42:13
ACC000264,ACC000686,1,65883.15,65883.15,65883.15,0,0,0.0,2025-01-01 03:29:01,2025-01-01 03:29:01
ACC001081,ACC000269,8,68225.68,8528.21,26488.76,0,0,27.533,2025-01-01 03:33:33,2025-01-28 16:20:36
ACC001090,ACC000787,1,51000.0,51000.0,51000.0,0,0,0.0,2025-01-01 03:35:25,2025-01-01 03:35:25
ACC001271,ACC000595,2,3163.44,1581.72,2483.95,0,0,3.978,2025-01-01 03:36:16,2025-01-05 03:04:56
ACC000726,ACC000165,7,15345.2,2192.17,4530.0,0,0,25.049,2025-01-01 03:42:12,2025-01-26 04:52:27
ACC001079,ACC000333,13,25078.71,1929.13,5156.05,0,0,29.42,2025-01-01 03:45:53,2025-01-30 13:50:13
ACC000590,ACC000859,2,3896.26,1948.13,3180.0,0,0,5.749,2025-01-01 03:51:39,2025-01-06 21:50:21
ACC000090,ACC001178,20,4833366.8,241668.34,2896191.89,0,0,29.455,2025-01-01 03:55:06,2025-01-30 14:50:09
ACC000512,ACC001477,14,8214.34,586.74,4485.68,0,0,28.4,2025-01-01 03:57:27,2025-01-29 13:33:45
ACC000364,ACC000985,1,337.71,337.71,337.71,0,0,0.0,2025-01-01 03:57:45,2025-01-01 03:57:45
ACC001242,ACC000114,1,2786.69,2786.69,2786.69,0,0,0.0,2025-01-01 03:59:57,2025-01-01 03:59:57
ACC001208,ACC000535,7,31016.36,4430.91,13525.79,0,0,29.69,2025-01-01 04:01:20,2025-01-30 20:35:18
ACC001206,ACC000041,1,4400.0,4400.0,4400.0,0,0,0.0,2025-01-01 04:05:21,2025-01-01 04:05:21
ACC000462,ACC000426,2,6850.0,3425.0,3920.0,0,0,15.243,2025-01-01 04:09:08,2025-01-16 09:58:59
ACC001079,ACC000284,14,24512.53,1750.9,4689.99,0,0,28.181,2025-01-01 04:09:51,2025-01-29 08:30:32
ACC000298,ACC001202,2,11842.17,5921.08,9342.71,0,0,3.23,2025-01-01 04:15:22,2025-01-04 09:46:13
ACC001032,ACC000766,9,1817020.48,201891.16,617065.04,0,0,16.719,2025-01-01 04:20:42,2025-01-17 21:36:12
ACC001257,ACC000265,2,239000.0,119500.0,132000.0,2,1,3.452,2025-01-01 04:21:14,2025-01-04 15:12:35
ACC001364,ACC001082,4,81172.11,20293.03,63721.99,0,0,29.598,2025-01-01 04:21:49,2025-01-30 18:43:29
ACC000589,ACC000151,3,182748.84,60916.28,125000.0,0,0,27.367,2025-01-01 04:29:34,2025-01-28 13:18:09
ACC001121,ACC000963,3,7018.12,2339.37,4820.0,0,0,27.211,2025-01-01 04:32:14,2025-01-28 09:36:17
ACC000440,ACC001486,4,21893.86,5473.46,9800.0,0,0,28.577,2025-01-01 04:32:43,2025-01-29 18:24:17
ACC000186,ACC001072,2,1177.36,588.68,656.53,0,0,19.795,2025-01-01 04:41:58,2025-01-20 23:46:24
ACC000775,ACC000246,1,11421.6,11421.6,11421.6,0,0,0.0,2025-01-01 04:43:37,2025-01-01 04:43:37
ACC000556,ACC001262,1,990.0,990.0,990.0,0,0,0.0,2025-01-01 04:47:17,2025-01-01 04:47:17
ACC000865,ACC000539,3,61130.71,20376.9,41301.82,0,0,9.701,2025-01-01 04:47:29,2025-01-10 21:36:33
ACC000044,ACC000865,1,187000.0,187000.0,187000.0,0,0,0.0,2025-01-01 04:50:24,2025-01-01 04:50:24
ACC000463,ACC001328,2,10890.0,5445.0,7200.0,0,0,5.43,2025-01-01 04:56:52,2025-01-06 15:15:24
ACC000333,ACC000637,18,73517.97,4084.33,8452.14,0,0,29.281,2025-01-01 04:57:58,2025-01-30 11:42:40
ACC000075,ACC000071,1,3192554.92,3192554.92,3192554.92,1,1,0.0,2025-01-01 05:09:45,2025-01-01 05:09:45
ACC001261,ACC001387,2,892.98,446.49,552.07,0,0,5.901,2025-01-01 05:16:20,2025-01-07 02:54:06
ACC001274,ACC001262,2,2617.12,1308.56,1999.93,0,0,7.29,2025-01-01 05:21:23,2025-01-08 12:19:33
ACC001453,ACC000164,10,527505.09,52750.51,139000.0,0,0,28.322,2025-01-01 05:27:30,2025-01-29 13:10:45
ACC001197,ACC000722,11,6964468.44,633133.49,1632000.0,0,0,28.549,2025-01-01 05:28:30,2025-01-29 18:39:32
ACC001320,ACC000151,1,959.74,959.74,959.74,0,0,0.0,2025-01-01 05:35:16,2025-01-01 05:35:16
ACC000268,ACC000476,18,123436.66,6857.59,36900.0,0,0,29.468,2025-01-01 05:38:22,2025-01-30 16:52:38
ACC001138,ACC000509,5,181745.81,36349.16,111425.52,0,0,26.123,2025-01-01 05:48:35,2025-01-27 08:46:04
ACC000810,ACC000807,16,27830.09,1739.38,3440.0,0,0,28.617,2025-01-01 05:58:36,2025-01-29 20:46:50
ACC001273,ACC000766,10,306228.5,30622.85,165904.42,0,0,24.274,2025-01-01 05:59:11,2025-01-25 12:33:37
ACC000810,ACC000402,14,29455.15,2103.94,6074.22,0,0,25.41,2025-01-01 07:03:29,2025-01-26 16:53:33
ACC001185,ACC000991,16,78237.08,4889.82,10603.2,0,0,25.396,2025-01-01 07:04:01,2025-01-26 16:34:25
ACC000539,ACC000391,28,73985.06,2642.32,13503.06,0,0,24.875,2025-01-01 07:05:22,2025-01-26 04:04:53
ACC000268,ACC000008,3,23895.57,7965.19,20700.0,0,0,16.206,2025-01-01 07:06:20,2025-01-17 12:02:17
ACC000824,ACC001466,7,125644.84,17949.26,33700.0,0,0,29.146,2025-01-01 07:06:34,2025-01-30 10:37:22
ACC000368,ACC001226,5,55298.69,11059.74,29844.05,0,0,17.095,2025-01-01 07:06:50,2025-01-18 09:23:28
ACC000681,ACC000314,11,3955216.34,359565.12,1255815.29,0,0,27.259,2025-01-01 07:08:43,2025-01-28 13:21:34
ACC000579,ACC000269,3,7655.78,2551.93,6400.0,0,0,18.276,2025-01-01 07:08:53,2025-01-19 13:45:56
ACC000512,ACC000454,12,3897.31,324.78,960.0,0,0,29.155,2025-01-01 07:08:58,2025-01-30 10:51:35
ACC001026,ACC000076,2,625770.48,312885.24,561000.0,0,0,3.441,2025-01-01 07:09:07,2025-01-04 17:43:32
ACC000894,ACC001383,4,11223.8,2805.95,4311.63,0,0,18.402,2025-01-01 07:10:32,2025-01-19 16:49:39
ACC000265,ACC000875,5,44355.69,8871.14,36410.51,0,0,17.113,2025-01-01 07:12:06,2025-01-18 09:54:18
ACC000810,ACC000539,18,50042.24,2780.12,6500.0,0,0,25.045,2025-01-01 07:12:14,2025-01-26 08:17:20
ACC000511,ACC001410,1,254.87,254.87,254.87,0,0,0.0,2025-01-01 07:12:45,2025-01-01 07:12:45
ACC001385,ACC000117,1,1700.0,1700.0,1700.0,0,0,0.0,2025-01-01 07:14:06,2025-01-01 07:14:06
ACC000426,ACC001320,16,30659.78,1916.24,4997.92,0,0,26.198,2025-01-01 07:15:08,2025-01-27 12:00:08
ACC001034,ACC000861,4,6305.8,1576.45,2789.46,0,0,19.653,2025-01-01 07:16:09,2025-01-20 22:56:39
ACC001304,ACC000039,2,7469.47,3734.74,6809.47,0,0,3.315,2025-01-01 07:16:26,2025-01-04 14:49:53
ACC000861,ACC001362,38,18039068.94,474712.34,2472000.0,0,0,29.152,2025-01-01 07:16:59,2025-01-30 10:56:11
ACC000467,ACC001081,1,2180.0,2180.0,2180.0,0,0,0.0,2025-01-01 07:17:39,2025-01-01 07:17:39
ACC000810,ACC000118,19,37668.14,1982.53,7735.17,0,0,29.362,2025-01-01 07:17:46,2025-01-30 15:59:41
ACC001489,ACC000614,3,5769.35,1923.12,4092.68,0,0,27.837,2025-01-01 07:21:30,2025-01-29 03:26:08
ACC000056,ACC000425,1,2387.54,2387.54,2387.54,0,0,0.0,2025-01-01 07:21:59,2025-01-01 07:21:59
ACC000085,ACC000618,1,8834.19,8834.19,8834.19,0,0,0.0,2025-01-01 07:22:38,2025-01-01 07:22:38
ACC000992,ACC000182,2,6900.43,3450.22,3587.69,0,0,11.91,2025-01-01 07:23:40,2025-01-13 05:14:33
ACC000071,ACC000983,2,1773.34,886.67,1583.34,0,0,23.376,2025-01-01 07:24:24,2025-01-24 16:25:14
ACC001418,ACC000114,1,2750.0,2750.0,2750.0,0,0,0.0,2025-01-01 07:25:41,2025-01-01 07:25:41
ACC000076,ACC000168,10,879375.71,87937.57,575033.93,0,0,29.204,2025-01-01 07:25:43,2025-01-30 12:19:42
ACC000714,ACC000036,8,3003311.21,375413.9,1037000.0,0,0,18.074,2025-01-01 07:25:45,2025-01-19 09:12:31
ACC001389,ACC000091,3,1881.16,627.05,1423.23,0,0,22.564,2025-01-01 07:25:55,2025-01-23 20:58:40
ACC001097,ACC000681,7,9691.09,1384.44,2817.6,0,0,23.523,2025-01-01 07:27:47,2025-01-24 20:01:00
ACC001148,ACC001341,17,12667592.13,745152.48,4103000.0,0,0,29.481,2025-01-01 07:28:11,2025-01-30 19:00:12
ACC000082,ACC000101,18,15972137.56,887340.98,6211000.0,0,0,27.353,2025-01-01 07:28:16,2025-01-28 15:56:40
ACC001386,ACC000796,1,5285.2,5285.2,5285.2,0,0,0.0,2025-01-01 07:29:34,2025-01-01 07:29:34
ACC001210,ACC000291,2,2892.37,1446.19,2562.82,0,0,6.995,2025-01-01 07:30:28,2025-01-08 07:22:43
ACC000649,ACC000518,4,335941.57,83985.39,116243.66,0,0,17.39,2025-01-01 07:31:12,2025-01-18 16:52:20
ACC000430,ACC000036,6,144582.16,24097.03,82045.48,0,0,17.309,2025-01-01 07:31:37,2025-01-18 14:56:55
ACC000848,ACC001208,1,820.23,820.23,820.23,0,0,0.0,2025-01-01 07:32:35,2025-01-01 07:32:35
ACC000239,ACC001362,6,8741.09,1456.85,1680.0,0,0,19.12,2025-01-01 07:33:14,2025-01-20 10:26:33
ACC001448,ACC000177,4,39277.26,9819.31,22829.69,0,0,12.327,2025-01-01 07:36:16,2025-01-13 15:27:47
ACC001053,ACC001274,1,2011.93,2011.93,2011.93,0,0,0.0,2025-01-01 07:36:34,2025-01-01 07:36:34
ACC001219,ACC000116,5,48055.38,9611.08,23460.1,0,0,14.516,2025-01-01 07:37:04,2025-01-15 19:59:31
ACC000546,ACC001389,1,19521.99,19521.99,19521.99,0,0,0.0,2025-01-01 07:39:07,2025-01-01 07:39:07
ACC000636,ACC001032,9,27108.25,3012.03,11441.43,0,0,24.121,2025-01-01 07:39:53,2025-01-25 10:34:47
ACC001154,ACC000642,3,10663.79,3554.6,6734.19,0,0,20.104,2025-01-01 07:40:29,2025-01-21 10:10:04
ACC001012,ACC001045,6,260414.6,43402.43,66504.66,0,0,15.438,2025-01-01 07:41:23,2025-01-16 18:12:13
ACC000333,ACC000630,20,124762.48,6238.12,34310.42,0,0,27.161,2025-01-01 07:41:54,2025-01-28 11:33:53
ACC000610,ACC000923,5,535294.77,107058.95,174000.0,0,0,25.926,2025-01-01 07:43:41,2025-01-27 05:57:45
ACC000384,ACC001374,7,6502.29,928.9,2897.4,0,0,26.139,2025-01-01 07:43:55,2025-01-27 11:03:54
ACC001229,ACC000151,9,1451616.08,161290.68,591376.79,0,0,26.374,2025-01-01 07:45:41,2025-01-27 16:44:36
ACC000533,ACC000181,1,8770.56,8770.56,8770.56,0,0,0.0,2025-01-01 07:46:02,2025-01-01 07:46:02
ACC000775,ACC000760,7,117984.68,16854.95,56142.55,0,0,29.146,2025-01-01 07:46:58,2025-01-30 11:17:41
ACC000127,ACC000766,1,2696.46,2696.46,2696.46,0,0,0.0,2025-01-01 07:47:03,2025-01-01 07:47:03
ACC000861,ACC000167,28,30440144.58,1087148.02,7456703.29,0,0,29.405,2025-01-01 07:49:55,2025-01-30 17:32:39
ACC000264,ACC000039,49,1133430.27,23131.23,96000.0,0,0,29.268,2025-01-01 07:51:01,2025-01-30 14:17:33
ACC001378,ACC000033,2,26380.75,13190.38,19066.72,0,0,23.364,2025-01-01 07:51:32,2025-01-24 16:35:47
ACC001417,ACC000138,1,94325.13,94325.13,94325.13,0,0,0.0,2025-01-01 07:52:06,2025-01-01 07:52:06
ACC001262,ACC001395,1,5015.15,5015.15,5015.15,0,0,0.0,2025-01-01 07:52:12,2025-01-01 07:52:12
ACC001249,ACC000036,2,1054.19,527.1,620.12,0,0,2.291,2025-01-01 07:52:28,2025-01-03 14:51:29
ACC000526,ACC000699,7,115589.27,16512.75,56407.86,0,0,27.194,2025-01-01 07:54:03,2025-01-28 12:34:02
ACC000289,ACC001447,1,3890.0,3890.0,3890.0,0,0,0.0,2025-01-01 07:54:06,2025-01-01 07:54:06
ACC001177,ACC000284,2,1996.55,998.28,1264.89,0,0,16.692,2025-01-01 07:54:16,2025-01-18 00:31:00
ACC000643,ACC001387,2,8384.67,4192.34,6600.0,0,0,3.499,2025-01-01 07:54:22,2025-01-04 19:53:31
ACC001350,ACC000291,2,4031.77,2015.88,2614.69,0,0,23.411,2025-01-01 07:55:10,2025-01-24 17:47:27
ACC000919,ACC000042,8,29974.98,3746.87,15724.78,0,0,23.297,2025-01-01 07:56:11,2025-01-24 15:04:28
ACC000207,ACC001286,1,12092.75,12092.75,12092.75,0,0,0.0,2025-01-01 07:57:49,2025-01-01 07:57:49
ACC000424,ACC000090,1,2962000.0,2962000.0,2962000.0,0,0,0.0,2025-01-01 07:58:30,2025-01-01 07:58:30
ACC000244,ACC001130,19,8794468.19,462866.75,1086000.0,0,0,27.451,2025-01-01 07:58:57,2025-01-28 18:48:26
ACC001231,ACC000042,5,151436.82,30287.36,66348.64,0,0,20.345,2025-01-01 08:00:19,2025-01-21 16:16:48
ACC000247,ACC001497,8,415548.75,51943.59,271746.95,0,0,26.011,2025-01-01 08:01:37,2025-01-27 08:17:39
ACC000424,ACC000760,1,2112000.0,2112000.0,2112000.0,0,0,0.0,2025-01-01 08:03:08,2025-01-01 08:03:08
ACC000999,ACC000784,1,26600.0,26600.0,26600.0,0,0,0.0,2025-01-01 08:03:30,2025-01-01 08:03:30
ACC001313,ACC001185,4,9020.27,2255.07,4250.0,0,0,22.982,2025-01-01 08:05:52,2025-01-24 07:39:31
ACC000391,ACC000022,1,297845.95,297845.95,297845.95,0,0,0.0,2025-01-01 08:07:34,2025-01-01 08:07:34
ACC000873,ACC001026,18,8645828.12,480323.78,1395666.22,0,0,28.121,2025-01-01 08:09:39,2025-01-29 11:04:19
ACC000463,ACC000244,1,5690.3,5690.3,5690.3,0,0,0.0,2025-01-01 08:13:48,2025-01-01 08:13:48
ACC000029,ACC000339,1,215.82,215.82,215.82,0,0,0.0,2025-01-01 08:13:58,2025-01-01 08:13:58
ACC000602,ACC000339,5,126424.72,25284.94,90394.87,0,0,23.985,2025-01-01 08:15:05,2025-01-25 07:53:01
ACC001251,ACC001018,1,423.43,423.43,423.43,0,0,0.0,2025-01-01 08:16:20,2025-01-01 08:16:20
ACC000561,ACC000239,3,12671.58,4223.86,6757.05,0,0,12.21,2025-01-01 08:19:02,2025-01-13 13:21:50
ACC000023,ACC000494,1,537.12,537.12,537.12,0,0,0.0,2025-01-01 08:19:19,2025-01-01 08:19:19
ACC001171,ACC001229,17,670603.44,39447.26,332451.47,0,0,28.061,2025-01-01 08:19:36,2025-01-29 09:48:04
ACC001464,ACC001339,3,526.38,175.46,430.18,0,0,29.093,2025-01-01 08:20:00,2025-01-30 10:33:36
ACC000462,ACC001497,1,1620.07,1620.07,1620.07,0,0,0.0,2025-01-01 08:20:57,2025-01-01 08:20:57
ACC001364,ACC001254,6,15498.82,2583.14,6449.98,0,0,29.393,2025-01-01 08:21:34,2025-01-30 17:47:41
ACC000999,ACC000289,1,22100.0,22100.0,22100.0,0,0,0.0,2025-01-01 08:25:25,2025-01-01 08:25:25
ACC000435,ACC001318,1,910.0,910.0,910.0,0,0,0.0,2025-01-01 08:25:37,2025-01-01 08:25:37
ACC000778,ACC000155,1,6300.0,6300.0,6300.0,0,0,0.0,2025-01-01 08:26:07,2025-01-01 08:26:07
ACC001153,ACC000151,1,3364000.0,3364000.0,3364000.0,0,0,0.0,2025-01-01 08:26:12,2025-01-01 08:26:12
ACC000085,ACC001328,5,105111.58,21022.32,55000.0,0,0,24.26,2025-01-01 08:26:30,2025-01-25 14:40:11
ACC001461,ACC000766,1,1161.98,1161.98,1161.98,0,0,0.0,2025-01-01 08:26:42,2025-01-01 08:26:42
ACC001334,ACC001127,8,44023.84,5502.98,12100.0,0,0,28.384,2025-01-01 08:26:59,2025-01-29 17:39:29
ACC000568,ACC000610,2,44700.41,22350.2,41158.88,0,0,8.225,2025-01-01 08:27:56,2025-01-09 13:51:27
ACC000132,ACC001164,1,13356.56,13356.56,13356.56,0,0,0.0,2025-01-01 08:29:04,2025-01-01 08:29:04
ACC000810,ACC001339,1,1810.61,1810.61,1810.61,0,0,0.0,2025-01-01 08:29:38,2025-01-01 08:29:38
ACC001369,ACC000691,5,4230.56,846.11,1325.82,0,0,28.041,2025-01-01 08:31:22,2025-01-29 09:30:12
ACC000843,ACC000545,1,3741.45,3741.45,3741.45,0,0,0.0,2025-01-01 08:34:39,2025-01-01 08:34:39
ACC000477,ACC000766,1,1524.63,1524.63,1524.63,0,0,0.0,2025-01-01 08:35:43,2025-01-01 08:35:43
ACC001320,ACC000989,8,7679.93,959.99,1840.0,0,0,27.391,2025-01-01 08:36:47,2025-01-28 18:00:25
ACC001232,ACC001387,8,60601.13,7575.14,14021.63,0,0,27.352,2025-01-01 08:37:00,2025-01-28 17:03:56
ACC000951,ACC000958,18,42217.55,2345.42,8719.78,0,0,28.487,2025-01-01 08:38:04,2025-01-29 20:19:53
ACC000384,ACC000828,1,259.55,259.55,259.55,0,0,0.0,2025-01-01 08:38:48,2025-01-01 08:38:48
ACC000424,ACC000557,17,11088140.22,652243.54,4272143.24,0,0,29.227,2025-01-01 08:39:00,2025-01-30 14:05:44
ACC000161,ACC000291,10,16115.27,1611.53,3450.0,0,0,29.169,2025-01-01 08:39:30,2025-01-30 12:43:08
ACC000999,ACC000762,81,14664881.64,181047.92,1400763.08,0,0,29.369,2025-01-01 08:40:15,2025-01-30 17:31:23
ACC000604,ACC000963,28,32054113.31,1144789.76,9936284.45,0,0,29.315,2025-01-01 08:42:01,2025-01-30 16:15:45
ACC001076,ACC001320,2,3568.06,1784.03,2010.0,0,0,15.572,2025-01-01 08:43:45,2025-01-16 22:27:27
ACC000449,ACC000766,3,12290.73,4096.91,8163.1,0,0,8.545,2025-01-01 08:44:32,2025-01-09 21:49:27
ACC000848,ACC000008,12,13253.95,1104.5,2524.91,0,0,26.472,2025-01-01 08:45:26,2025-01-27 20:04:30
ACC001016,ACC000970,1,16613.69,16613.69,16613.69,0,0,0.0,2025-01-01 08:46:16,2025-01-01 08:46:16
ACC000341,ACC000523,3,47249.43,15749.81,35100.0,0,0,23.172,2025-01-01 08:48:29,2025-01-24 12:56:28
ACC000789,ACC000763,6,112307.11,18717.85,78267.24,0,0,26.097,2025-01-01 08:55:17,2025-01-27 11:14:57
ACC001228,ACC000687,71,43032413.54,606090.33,3968126.54,0,0,29.453,2025-01-01 08:55:52,2025-01-30 19:48:31
ACC001249,ACC001493,1,1216.28,1216.28,1216.28,0,0,0.0,2025-01-01 08:56:36,2025-01-01 08:56:36
ACC000096,ACC000771,5,90843.92,18168.78,41200.0,0,0,24.109,2025-01-01 08:56:49,2025-01-25 11:33:11
ACC001038,ACC001471,12,61582.84,5131.9,15580.39,0,0,23.202,2025-01-01 08:59:08,2025-01-24 13:50:08
ACC000333,ACC000125,1,399.81,399.81,399.81,0,0,0.0,2025-01-01 09:01:24,2025-01-01 09:01:24
ACC000575,ACC000063,1,6300.0,6300.0,6300.0,0,0,0.0,2025-01-01 09:01:29,2025-01-01 09:01:29
ACC001183,ACC000108,1,33400.0,33400.0,33400.0,0,0,0.0,2025-01-01 09:02:03,2025-01-01 09:02:03
ACC000043,ACC001155,1,1670.0,1670.0,1670.0,0,0,0.0,2025-01-01 09:02:12,2025-01-01 09:02:12
ACC000509,ACC001153,3,10109.21,3369.74,4880.05,0,0,26.994,2025-01-01 09:04:17,2025-01-28 08:55:06
ACC000151,ACC000919,2,730.0,365.0,590.0,0,0,5.777,2025-01-01 09:04:35,2025-01-07 03:43:46
ACC000859,ACC001275,4,39647.81,9911.95,29255.8,0,0,24.241,2025-01-01 09:04:35,2025-01-25 14:52:19
ACC001276,ACC001388,1,971.22,971.22,971.22,0,0,0.0,2025-01-01 09:04:54,2025-01-01 09:04:54
ACC001432,ACC001229,1,855.06,855.06,855.06,0,0,0.0,2025-01-01 09:05:31,2025-01-01 09:05:31
ACC000424,ACC001249,1,482471.91,482471.91,482471.91,0,0,0.0,2025-01-01 09:06:18,2025-01-01 09:06:18
ACC001364,ACC000108,8,27779.85,3472.48,6047.55,0,0,28.188,2025-01-01 09:06:21,2025-01-29 13:36:23
ACC000537,ACC001466,4,7864.26,1966.06,5200.0,0,0,29.252,2025-01-01 09:06:42,2025-01-30 15:09:45
ACC001325,ACC000339,5,23798.06,4759.61,7939.79,0,0,23.202,2025-01-01 09:07:40,2025-01-24 13:59:16
ACC000145,ACC000047,19,2422201.92,127484.31,415640.82,0,0,27.266,2025-01-01 09:07:41,2025-01-28 15:30:21
ACC001196,ACC000985,1,7712.03,7712.03,7712.03,0,0,0.0,2025-01-01 09:08:06,2025-01-01 09:08:06
ACC001249,ACC000686,12,22283.47,1856.96,7472.38,0,0,29.362,2025-01-01 09:08:23,2025-01-30 17:49:38
